codigo_provincia;nombre_provincia;año;sexo;edad;poblacion;tasa_def_tot_1000hab;muertes_totales;muertes_respiratorias;proporcion_muerte_respiratoria;tasa_muerte_respiratoria_1000hab;VALOR_ICA;CATEGORIA_ICA;CONTAMINANTE;LATITUD_MEDIA;LONGITUD_MEDIA;ALTITUD_MEDIA;TIPO_AREA_MAS_FREC;ZONA_MAS_FREC
1;ARABA ALAVA;2013;hombres;0-4;1286;2.12;3;0;0.0;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;15-24;2024;0.35;1;0;0.0;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;25-34;4296;0.82;4;0;0.0;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;35-44;4050;0.82;3;6;2.0;1.481;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;45-54;1642;3.19;5;39;7.8;23.752;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;5-14;1470;0.0;0;0;;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;55-64;521;7.6;4;23;5.75;44.146;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;65-74;1083;15.06;16;38;2.375;35.088;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;hombres;75+;6533;160.31;1047;51;0.0487106017191977;7.807;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;0-4;1215;0.49;1;0;0.0;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;15-24;1868;0.14;0;0;;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;25-34;3837;0.29;1;0;0.0;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;35-44;2656;0.38;1;1;1.0;0.377;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;45-54;1311;1.99;3;7;2.333333333333333;5.339;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;5-14;1425;0.06;0;0;;0.0;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;55-64;553;3.44;2;14;7.0;25.316;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;65-74;172;6.53;1;18;18.0;104.651;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
1;ARABA ALAVA;2013;mujeres;75+;7786;105.66;823;70;0.0850546780072904;8.99;12.5;Buena;O3;42.84872571428571;-2.7454414285714286;456.0;SUBURBANA;RESIDENCIAL/COMERCIAL
