AÑO_MES,Periodo,Nivel,Entidad,Partido,Fecha
2013-02,2013–2015,Capital de Provincia,Valencia,PP,2013-02-01
2013-03,2013–2015,Capital de Provincia,Córdoba,PSOE,2013-03-01
2013-04,2013–2015,Capital de Provincia,Almería,PP,2013-04-01
2013-06,2013–2015,Capital de Provincia,Valladolid,PP,2013-06-01
2013-07,2013–2015,Capital de Provincia,Pontevedra,PP,2013-07-01
2013-08,2013–2015,Comunidad Autónoma,La Rioja,PP,2013-08-01
2013-10,2013–2015,Capital de Provincia,Zamora,IU,2013-10-01
2013-11,2013–2015,Capital de Provincia,Zaragoza,PP,2013-11-01
2013-12,2013–2015,Comunidad Autónoma,Asturias,PSOE,2013-12-01
2014-03,2013–2015,Capital de Provincia,Girona,CiU,2014-03-01
2014-08,2013–2015,Capital de Provincia,Guadalajara,PP,2014-08-01
2014-09,2013–2015,Capital de Provincia,Jaén,PP,2014-09-01
2014-12,2013–2015,Capital de Provincia,Huelva,PP,2014-12-01
2015-01,2013–2015,Capital de Provincia,Huesca,PP,2015-01-01
2015-02,2013–2015,Comunidad Autónoma,Asturias,PSOE,2015-02-01
2015-04,2015–2019,Capital de Provincia,Ciudad Real,PSOE,2015-04-01
2015-05,2015–2019,Capital de Provincia,Cáceres,PP / PSOE,2015-05-01
2015-06,2013–2015,Capital de Provincia,Burgos,PP,2015-06-01
2015-08,2015–2019,Capital de Provincia,Jaén,PSOE,2015-08-01
2015-09,2015–2019,Capital de Provincia,Ciudad Real,PSOE,2015-09-01
2015-10,2015–2019,Capital de Provincia,Segovia,PP / PSOE,2015-10-01
2015-11,2013–2015,Capital de Provincia,Zamora,IU,2015-11-01
2016-01,2015–2019,Capital de Provincia,Cuenca,PSOE,2016-01-01
2016-02,2015–2019,Capital de Provincia,Zamora,IU,2016-02-01
2016-05,2015–2019,Capital de Provincia,Almería,PP,2016-05-01
2016-07,2015–2019,Capital de Provincia,Córdoba,PSOE,2016-07-01
2016-09,2015–2019,Capital de Provincia,Ávila,PP,2016-09-01
2016-10,2015–2019,Capital de Provincia,Zaragoza,PP / PSOE,2016-10-01
2016-11,2015–2019,Capital de Provincia,Valladolid,PSOE,2016-11-01
2017-01,2015–2019,Capital de Provincia,Girona,ERC,2017-01-01
2017-03,2015–2019,Capital de Provincia,Málaga,PP,2017-03-01
2017-04,2015–2019,Capital de Provincia,Madrid,Ahora Madrid / Más Madrid,2017-04-01
2017-05,2015–2019,Capital de Provincia,Toledo,PSOE,2017-05-01
2017-06,2015–2019,Capital de Provincia,Palencia,PP / PSOE,2017-06-01
2017-10,2015–2019,Capital de Provincia,Málaga,PP,2017-10-01
2017-11,2015–2019,Capital de Provincia,Granada,PP / PSOE,2017-11-01
2017-12,2015–2019,Capital de Provincia,Pontevedra,BNG,2017-12-01
2018-01,2015–2019,Capital de Provincia,Álava,PNV,2018-01-01
2018-02,2015–2019,Capital de Provincia,Tarragona,PSOE / ERC,2018-02-01
2018-03,2015–2019,Comunidad Autónoma,La Rioja,PP,2018-03-01
2018-04,2015–2019,Capital de Provincia,Huesca,PP / PSOE,2018-04-01
2018-05,2015–2019,Capital de Provincia,Ourense,DO,2018-05-01
2018-07,2015–2019,Capital de Provincia,Álava,PNV,2018-07-01
2018-08,2015–2019,Capital de Provincia,Burgos,PP,2018-08-01
2018-09,2015–2019,Comunidad Autónoma,La Rioja,PP,2018-09-01
