fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,tmed,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2014-02-21,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,5",34,"0,8","8,1",14:20,,,,,,,,,,
2014-02-22,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",23,"0,0","4,2",12:00,,,,,,,,,,
2014-02-23,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",15,"3,3","12,8",23:59,,,,,,,,,,
2014-02-24,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",16,"4,2","13,9",04:00,,,,,,,,,,
2014-02-25,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"9,7",34,"1,1","15,8",16:50,,,,,,,,,,
2014-02-26,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,5",32,"1,1","7,8",14:00,,,,,,,,,,
2014-02-27,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"4,2",12,"0,6","6,9",22:30,,,,,,,,,,
2014-02-28,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"16,3",31,"5,0","15,8",15:00,,,,,,,,,,
2014-03-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"18,6",13,"1,4","7,8",17:50,,,,,,,,,,
2014-03-02,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"8,3",26,"0,8","8,6",22:40,,,,,,,,,,
2014-03-03,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"26,6",33,"2,2","15,0",16:30,,,,,,,,,,
2014-03-04,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"10,2",31,"1,7","13,9",03:20,,,,,,,,,,
2014-03-05,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,2",32,"1,7","8,9",05:30,,,,,,,,,,
2014-03-06,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",99,"0,8","8,9",Varias,,,,,,,,,,
2014-03-07,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",13,"0,3","5,3",01:20,,,,,,,,,,
2014-03-08,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",17,"1,4","13,9",23:20,,,,,,,,,,
2014-03-09,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",16,"1,7","14,7",00:10,,,,,,,,,,
2014-03-10,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",,"0,3",,,,,,,,,,,,
2014-03-11,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",32,"1,4","7,8",13:10,,,,,,,,,,
2014-03-12,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",99,"0,3","4,7",Varias,,,,,,,,,,
2014-03-13,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",28,"0,6","6,4",14:20,,,,,,,,,,
2014-03-14,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",08,"0,8","7,5",17:00,,,,,,,,,,
2014-03-15,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",32,"3,1","10,0",13:20,,,,,,,,,,
2014-03-16,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",01,"2,2","13,9",14:20,,,,,,,,,,
2014-03-17,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",26,"0,0","2,8",10:10,,,,,,,,,,
2014-03-18,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",,"2,5",,,,,,,,,,,,
2014-03-19,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",26,"0,3","6,7",11:20,,,,,,,,,,
2014-03-20,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",,"0,3",,,,,,,,,,,,
2014-03-21,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,4",,"0,6",,,,,,,,,,,,
2014-03-22,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,5",35,"1,7","9,4",12:00,,,,,,,,,,
2014-03-23,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"8,2",32,"1,9","9,4",13:50,,,,,,,,,,
2014-03-24,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"12,7",,"0,0",,,,,,,,,,,,
2014-03-25,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"13,5",32,"2,2","15,8",16:40,,,,,,,,,,
2014-03-26,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"37,1",33,"1,1","7,2",16:40,,,,,,,,,,
2014-03-27,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,1",13,"0,6","5,8",23:40,,,,,,,,,,
2014-03-28,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",13,"4,4","18,6",19:10,,,,,,,,,,
2014-03-29,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",21,"2,8","16,9",08:20,,,,,,,,,,
2014-03-30,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",17,"3,1","13,6",00:50,,,,,,,,,,
2014-03-31,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,6",18,"2,5","10,0",23:50,,,,,,,,,,
2014-04-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",18,"3,6","16,4",21:20,,,,,,,,,,
2014-04-02,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,6",14,"3,6","15,0",03:50,,,,,,,,,,
2014-04-03,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,5",34,"1,7","10,0",14:50,,,,,,,,,,
2014-04-04,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,1",32,"0,8","7,2",12:00,,,,,,,,,,
2014-04-05,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",32,"1,1","6,7",13:00,,,,,,,,,,
2014-04-06,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",29,"0,0","3,1",12:40,,,,,,,,,,
2014-04-07,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",12,"0,0","6,9",02:10,,,,,,,,,,
2014-04-08,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",02,"1,9","8,6",16:40,,,,,,,,,,
2014-04-09,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",,,,,,,,,,,,,,
2014-04-10,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,8",,,,,,,,,,,,,,
2014-04-11,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,0",,"1,9",,,,,,,,,,,,
