fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2016-01-01,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,0","0,0","11,4",08:00,"20,5",12:20,14,"1,4","5,0",14:30,"1020,2",10,"1016,7",16,83,96,20:30,64,11:20
2016-01-02,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,2","0,0","11,1",03:00,"19,4",15:00,31,"2,8","11,1",12:20,"1019,6",10,"1016,8",04,67,94,Varias,52,14:40
2016-01-03,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"17,1","0,0","13,1",04:00,"21,1",14:40,31,"1,4","9,2",08:00,"1017,6",01,"1012,5",24,71,90,Varias,55,12:10
2016-01-04,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"19,0","5,9","14,3",01:00,"23,8",12:50,27,"1,7","9,2",23:50,"1012,6",00,"1004,3",24,62,87,Varias,44,16:30
2016-01-05,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,0","0,1","9,7",20:40,"18,3",00:10,27,"3,3","14,4",12:20,"1014,4",24,"1001,7",05,66,94,05:10,43,Varias
2016-01-06,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,2","0,0","9,2",03:50,"17,1",13:40,31,"2,2","13,1",11:30,"1018,9",11,"1014,4",00,56,76,23:50,45,13:00
2016-01-07,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,3","0,0","8,9",06:50,"19,7",14:10,32,"2,2","10,3",14:40,"1018,6",00,"1014,0",Varias,69,86,Varias,56,14:50
2016-01-08,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"17,6","2,2","11,4",07:40,"23,7",14:40,27,"2,8","10,0",15:20,"1014,1",00,"1008,0",16,62,88,Varias,40,14:40
2016-01-09,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,4","1,2","10,8",23:59,"21,9",14:30,36,"1,1","10,0",16:40,"1014,4",Varias,"1006,4",05,64,97,Varias,38,14:30
2016-01-10,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,2","0,0","8,4",05:40,"21,9",13:20,27,"1,4","9,7",15:30,"1013,7",00,"1009,4",14,59,86,Varias,41,13:10
2016-01-11,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"18,4","0,0","14,5",Varias,"22,2",13:00,27,"2,8","12,8",13:20,"1016,1",Varias,"1010,5",05,64,88,18:40,52,13:00
2016-01-12,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,0","0,0","10,9",06:40,"19,2",14:40,31,"3,9","10,8",13:30,"1020,4",23,"1016,0",00,57,86,06:10,36,15:10
2016-01-13,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,2","0,0","8,0",05:10,"18,4",11:30,14,"2,5","8,3",11:40,"1022,6",10,"1019,4",15,62,71,18:00,46,11:30
2016-01-14,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,3","0,0","6,6",04:30,"22,0",14:50,32,"1,9","6,4",17:00,"1020,5",00,"1013,0",15,58,77,08:20,44,14:50
2016-01-15,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,2","0,0","11,7",23:59,"18,7",15:00,31,"2,5","13,1",12:50,"1022,6",Varias,"1013,0",06,62,82,Varias,49,21:20
2016-01-16,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"12,5","0,0","7,2",06:20,"17,8",12:40,99,"2,8","6,7",Varias,"1025,4",10,"1021,9",02,56,73,23:40,36,11:50
2016-01-17,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"11,4","0,0","6,2",07:00,"16,7",14:00,14,"1,7","6,1",11:30,"1024,3",00,"1018,1",24,63,88,Varias,44,14:00
2016-01-18,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,0","0,0","9,6",00:20,"20,4",15:10,27,"3,1","11,4",12:00,"1018,1",00,"1012,8",15,52,71,23:50,40,15:10
2016-01-19,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,9","1,3","10,9",Varias,"18,9",13:00,27,"2,2","9,4",11:20,"1015,4",10,"1012,0",15,57,76,06:10,43,14:20
2016-01-20,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,5","0,0","10,2",07:20,"16,8",14:40,31,"1,7","5,3",12:00,"1016,0",24,"1012,0",15,83,94,Varias,70,00:00
2016-01-21,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,3","0,0","11,6",01:40,"21,0",12:50,31,"1,7","6,7",06:50,"1020,9",23,"1015,4",02,65,85,02:10,49,14:00
2016-01-22,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,2","0,0","11,1",23:59,"19,2",12:30,13,"1,1","4,7",14:50,"1026,9",24,"1020,8",00,76,94,07:40,58,Varias
2016-01-23,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,2","0,0","10,1",03:30,"20,4",13:00,13,"2,5","6,9",12:30,"1029,0",10,"1026,3",15,67,93,04:20,47,12:40
2016-01-24,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,8","0,0","8,8",07:30,"20,8",14:10,13,"1,9","5,3",11:20,"1029,0",10,"1025,7",16,63,89,07:40,40,Varias
2016-01-25,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,9","0,1","8,8",03:40,"19,0",14:00,14,"1,9","4,7",12:00,"1028,0",10,"1024,9",16,73,89,23:30,58,13:50
2016-01-26,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,4","0,0","8,6",05:40,"18,3",14:30,13,"1,4","6,4",13:40,"1027,6",10,"1024,2",16,82,96,07:10,67,14:30
2016-01-27,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,0","0,0","9,2",07:50,"18,9",14:10,14,"2,5","6,7",12:10,"1025,8",10,"1022,7",Varias,70,86,00:00,49,12:00
2016-01-28,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"12,8","0,0","7,6",04:50,"17,9",12:00,26,"1,9","4,7",10:10,"1026,4",10,"1022,9",15,70,88,05:20,53,11:10
2016-01-29,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,1","43,5","8,8",05:50,"17,4",14:20,09,"1,9","8,9",20:50,"1028,0",24,"1023,7",15,71,98,23:50,59,15:10
2016-01-30,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,6","0,0","8,9",04:10,"20,3",14:40,28,"1,7","6,7",15:40,"1030,2",10,"1025,8",03,70,98,Varias,45,16:00
2016-01-31,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,6","0,0","11,5",07:40,"21,8",15:00,26,"4,4","12,8",13:00,"1029,3",00,"1023,4",15,58,76,06:10,37,14:00
2016-02-01,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,2","0,0","10,2",04:50,"22,2",12:00,14,"1,9","5,3",14:50,"1026,9",09,"1023,8",Varias,69,92,21:50,44,12:00
2016-02-02,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"14,6","0,0","7,8",07:30,"21,5",12:20,13,"1,9","4,4",15:20,"1025,2",00,"1019,9",15,68,91,Varias,40,12:10
2016-02-03,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,2","0,0","12,1",00:50,"18,4",12:00,28,"1,7","8,1",08:30,"1025,7",24,"1019,6",06,77,92,Varias,61,11:50
2016-02-04,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,9","0,0","10,5",07:00,"17,3",13:30,12,"3,1","11,1",10:30,"1029,3",11,"1025,1",24,76,95,07:30,55,13:30
2016-02-05,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,6","0,0","11,5",23:59,"19,7",11:40,12,"1,7","8,3",02:10,"1025,1",00,"1020,0",16,62,88,23:50,52,11:40
2016-02-06,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,3","0,6","9,1",06:00,"17,5",15:30,13,"1,9","5,3",15:10,"1021,3",00,"1016,1",19,84,95,Varias,64,12:20
2016-02-07,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,0","0,1","13,0",03:00,"18,9",14:30,30,"3,9","14,4",12:00,"1023,7",23,"1014,3",05,60,94,00:00,40,14:50
2016-02-08,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,4","0,0","12,0",05:30,"18,8",14:50,29,"4,4","13,9",16:10,"1024,5",11,"1021,6",16,55,79,05:10,44,15:00
2016-02-09,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"16,6","0,0","12,5",00:10,"20,8",14:10,30,"3,3","14,7",11:40,"1023,0",11,"1019,4",16,53,65,21:50,43,Varias
2016-02-10,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"19,7","1,1","16,5",08:50,"22,9",12:50,99,"1,7","8,9",Varias,"1020,0",00,"1014,2",24,60,74,23:59,50,13:00
2016-02-11,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,,"0,3",,,,,28,"1,7","12,2",16:10,"1015,3",22,"1011,3",15,71,,,,
2016-02-12,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"18,8","0,0","13,6",04:00,"23,9",13:20,32,"1,4","10,3",11:20,"1015,5",07,"1011,1",15,61,82,23:00,49,13:20
2016-02-13,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"19,8","1,4","17,1",23:59,"22,4",14:00,30,"2,5","11,1",16:40,"1012,6",10,"1008,9",23,60,80,00:00,50,Varias
2016-02-14,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"13,0","3,2","7,8",18:50,"18,3",11:10,29,"5,3","19,4",16:20,"1010,1",22,"1002,7",15,61,86,04:00,43,15:30
2016-02-15,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"11,8","0,5","7,9",02:00,"15,7",15:00,33,"3,3","13,6",07:00,"1015,3",24,"1007,8",15,58,70,Varias,40,23:59
