fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,sol
2021-01-28,5783,SEVILLA AEROPUERTO,SEVILLA,34,"16,5","0,0","10,4",07:40,"22,6",15:14,99,"1,7","7,8",Varias,"1022,4",00,"1019,1",17,84,100,Varias,37,18:20,"9,6"
2021-01-29,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,5","0,1","10,7",02:35,"14,3",Varias,22,"2,2","5,8",Varias,"1022,1",Varias,"1019,1",05,100,100,Varias,75,11:45,"0,0"
2021-01-30,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,4",Ip,"11,8",23:37,"18,9",14:10,99,"6,4","12,5",Varias,"1020,0",00,"1015,3",16,73,100,Varias,43,20:12,"5,7"
2021-01-31,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,7","0,0","10,8",03:06,"18,6",15:09,27,"5,0","10,3",Varias,"1020,2",Varias,"1016,7",16,79,100,Varias,43,12:26,
2021-02-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,6","0,0","10,7",22:48,"18,4",Varias,25,"4,4","9,2",01:20,"1019,2",Varias,"1016,5",03,82,100,Varias,64,16:04,"6,8"
2021-02-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,8","0,0","8,7",02:18,"19,0",15:11,99,"1,7","4,2",Varias,"1018,9",00,"1014,9",15,90,100,Varias,63,15:13,"2,5"
2021-02-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,4","0,0","12,2",07:47,"18,7",13:29,99,"1,9","5,0",Varias,"1015,7",00,"1010,9",24,77,100,Varias,61,13:36,"5,1"
2021-02-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,8","0,0","13,1",23:10,"18,4",13:49,23,"2,5","8,9",11:49,"1010,9",00,"1002,2",Varias,81,100,Varias,65,13:50,"2,9"
2021-02-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,6","12,1","10,9",07:33,"14,4",13:30,17,"3,1","11,4",16:41,"1002,4",Varias,"998,4",16,100,100,Varias,100,Varias,"0,1"
2021-02-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,4","0,3","10,2",03:30,"14,6",12:00,26,"5,3","10,8",17:32,"1005,1",Varias,"998,9",01,85,100,Varias,72,12:22,"1,3"
2021-02-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,4","15,5","9,8",04:18,"15,1",13:07,99,"4,4","12,5",15:00,"1011,2",Varias,"1005,1",00,77,100,Varias,58,14:45,"6,1"
