fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
2015-01-01,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,6","0,0","3,3",Varias,"12,0",15:13,26,"3,9","10,8",10:26,"8,1","984,6",23,"980,1",00,69
2015-01-02,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,8","0,0","7,2",00:33,"14,5",14:29,31,"6,9","15,0",22:13,"8,6","986,6",11,"984,2",05,38
2015-01-03,0200E,"BARCELONA, FABRA",BARCELONA,408,"12,5","0,0","9,2",Varias,"15,8",14:45,30,"8,6","15,8",04:42,"9,1","985,1",00,"981,6",21,38
2015-01-04,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,8","0,0","8,3",08:31,"15,4",14:12,11,"5,3","10,8",08:19,"9,0","981,9",11,"980,5",17,52
2015-01-05,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,8","0,0","8,4",22:27,"15,3",12:52,30,"1,9","11,4",01:45,"9,0","981,5",00,"976,2",24,70
2015-01-06,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,6","0,0","5,1",Varias,"12,0",14:50,31,"4,4","12,8",09:10,"8,4","978,6",24,"974,5",Varias,83
2015-01-07,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,9",Ip,"7,2",Varias,"12,6",14:52,33,"1,4","4,2",23:59,"2,1","982,4",24,"978,6",Varias,87
2015-01-08,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,7","0,0","4,8",19:05,"10,6",13:25,31,"5,6","14,7",18:55,"9,2","989,1",24,"982,4",00,71
2015-01-09,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,2","0,0","5,1",07:45,"11,3",Varias,30,"10,0","16,9",20:25,"9,3","989,7",10,"985,9",24,59
2015-01-10,0200E,"BARCELONA, FABRA",BARCELONA,408,"14,4","0,0","10,1",00:03,"18,6",14:35,31,"9,2","16,4",03:55,"9,2","985,9",00,"977,0",24,59
2015-01-11,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,9","0,0","6,3",09:13,"13,5",00:00,30,"4,2","13,6",09:03,"8,6","983,9",Varias,"975,9",03,74
2015-01-12,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,2","0,0","5,6",04:50,"16,9",14:30,31,"8,1","15,0",05:37,"9,2","983,9",00,"979,3",24,42
