fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-01-28,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,1","8,0",Varias,"12,4",13:30,25,"3,3","10,3",15:10,"945,6",11,"943,4",04,76,86,Varias,70,13:40
2020-01-29,3195,"MADRID, RETIRO",MADRID,667,"11,8","0,0","9,9",Varias,"13,7",13:45,25,"1,9","8,3",01:10,"947,4",11,"945,1",Varias,73,84,Varias,61,14:00
2020-01-30,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,1","8,4",05:00,"11,8",15:00,27,"2,8","8,3",20:30,"947,6",11,"945,5",16,74,86,05:30,58,Varias
2020-01-31,3195,"MADRID, RETIRO",MADRID,667,"12,6","0,2","9,5",08:00,"15,7",13:30,26,"1,7","6,9",15:00,"947,0",Varias,"945,0",Varias,71,87,23:40,56,13:30
2020-02-01,3195,"MADRID, RETIRO",MADRID,667,"14,0","0,0","10,4",23:00,"17,5",13:30,23,"2,8","8,1",14:30,"950,7",24,"945,1",06,85,98,Varias,69,13:00
2020-02-02,3195,"MADRID, RETIRO",MADRID,667,"11,6","0,0","10,6",Varias,"12,7",15:50,04,"0,6","3,9",23:59,"954,2",23,"951,2",03,77,87,Varias,69,15:30
2020-02-03,3195,"MADRID, RETIRO",MADRID,667,"12,8","0,0","8,1",09:10,"17,4",16:15,05,"0,6","4,7",02:00,"954,2",00,"951,3",18,65,86,23:30,45,14:00
2020-02-04,3195,"MADRID, RETIRO",MADRID,667,"11,6","0,0","6,5",06:20,"16,8",15:50,04,"1,7","10,0",20:00,"952,9",00,"949,3",16,65,86,Varias,38,18:00
2020-02-05,3195,"MADRID, RETIRO",MADRID,667,"8,8","0,0","4,7",08:00,"13,0",Varias,10,"1,1","7,5",02:00,"951,5",09,"947,0",17,40,60,07:10,27,14:40
2020-02-06,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","4,5",06:10,"10,2",Varias,04,"0,8","5,3",02:30,"948,2",11,"944,6",16,82,89,11:00,51,00:00
2020-02-07,3195,"MADRID, RETIRO",MADRID,667,"8,4","0,0","5,2",08:20,"11,6",15:20,23,"0,8","4,7",16:40,"946,9",11,"944,8",15,68,81,Varias,59,15:10
2020-02-08,3195,"MADRID, RETIRO",MADRID,667,"8,6",Ip,"6,2",02:15,"11,0",16:45,26,"0,3","5,3",17:00,"949,7",23,"945,4",04,74,87,07:30,67,12:00
2020-02-09,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","7,5",05:00,"11,4",16:30,24,"0,8","4,7",15:30,"953,0",23,"948,0",04,72,86,02:10,64,15:00
2020-02-10,3195,"MADRID, RETIRO",MADRID,667,"11,4","0,0","7,2",08:00,"15,5",16:10,99,"0,6","3,6",Varias,"955,4",11,"951,5",17,71,88,Varias,58,13:50
2020-02-11,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","7,5",03:00,"13,0",15:30,15,"0,6","3,1",16:20,"952,2",00,"946,7",24,91,97,Varias,76,15:00
2020-02-12,3195,"MADRID, RETIRO",MADRID,667,"10,5","0,0","9,7",Varias,"11,3",12:30,15,"0,8","3,9",18:40,"947,2",13,"944,0",06,76,84,06:30,72,Varias
2020-02-13,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","7,8",23:59,"14,3",14:45,22,"1,4","6,1",15:30,"947,8",Varias,"944,3",04,67,85,23:59,53,15:20
2020-02-14,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","6,9",08:00,"13,5",15:10,13,"0,6","4,4",12:10,"949,4",10,"947,1",18,68,89,04:30,51,Varias
2020-02-15,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","4,9",07:10,"15,4",15:40,23,"0,8","5,0",15:00,"950,2",24,"947,7",Varias,60,85,05:10,43,15:50
2020-02-16,3195,"MADRID, RETIRO",MADRID,667,"11,2","0,0","5,4",07:50,"17,0",16:20,24,"1,7","9,2",15:40,"950,4",10,"946,8",15,75,96,08:00,56,Varias
2020-02-17,3195,"MADRID, RETIRO",MADRID,667,"10,4","0,0","6,8",04:40,"14,0",16:10,07,"0,8","6,9",22:50,"952,0",24,"948,0",05,75,89,06:30,55,23:00
2020-02-18,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","5,7",06:30,"13,4",16:20,02,"1,4","8,3",10:20,"953,4",10,"950,7",16,53,65,05:30,47,16:30
2020-02-19,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","3,9",05:20,"14,2",16:30,05,"1,7","6,9",02:00,"954,3",Varias,"949,6",24,42,62,05:30,27,16:30
2020-02-20,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","3,6",07:20,"15,6",16:10,99,"1,1","4,7",Varias,"949,4",00,"945,9",Varias,41,61,07:20,28,16:30
2020-02-21,3195,"MADRID, RETIRO",MADRID,667,"11,1","0,0","3,9",05:20,"18,3",13:40,05,"0,8","6,7",00:50,"952,1",24,"948,0",00,44,57,08:00,36,Varias
2020-02-22,3195,"MADRID, RETIRO",MADRID,667,"12,6","0,0","5,2",07:30,"20,0",16:00,04,"0,8","5,3",22:30,"954,7",10,"951,8",Varias,35,58,08:10,23,15:40
2020-02-23,3195,"MADRID, RETIRO",MADRID,667,"13,9","0,0","7,6",07:45,"20,2",13:45,06,"0,8","8,6",02:40,"956,2",10,"952,5",24,29,40,Varias,23,15:40
2020-02-24,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","6,6",06:55,"20,1",13:40,24,"1,1","5,6",14:20,"952,6",00,"944,6",24,33,47,23:10,25,Varias
2020-02-25,3195,"MADRID, RETIRO",MADRID,667,"12,3","0,0","5,6",08:10,"19,0",13:40,32,"2,5","9,7",14:20,"945,2",00,"941,6",14,47,70,07:40,23,12:30
2020-02-26,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","6,5",07:00,"15,5",Varias,31,"3,1","10,8",05:20,"944,8",10,"941,6",04,52,67,07:00,38,16:00
2020-02-27,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,4",04:00,"18,5",14:10,28,"3,9","11,9",13:00,"945,0",22,"942,7",03,42,62,Varias,28,16:30
2020-02-28,3195,"MADRID, RETIRO",MADRID,667,"12,8","0,0","7,4",07:40,"18,2",16:02,32,"1,1","5,8",00:10,"946,2",01,"937,5",24,42,62,08:00,32,15:30
2020-02-29,3195,"MADRID, RETIRO",MADRID,667,"10,3","0,0","7,4",07:40,"13,2",13:05,24,"4,4","14,4",14:00,"938,0",00,"935,8",18,66,81,09:00,50,00:00
2020-03-01,3195,"MADRID, RETIRO",MADRID,667,"11,8","2,2","8,3",03:10,"15,2",16:00,24,"4,2","13,9",17:20,"938,3",10,"929,1",24,84,,,,
2020-03-02,3195,"MADRID, RETIRO",MADRID,667,"9,5","0,0","6,3",23:59,"12,7",12:20,26,"4,7","20,0",00:50,"939,8",22,"923,9",05,52,87,06:10,30,15:00
2020-03-03,3195,"MADRID, RETIRO",MADRID,667,"9,8","0,0","5,2",06:10,"14,4",15:50,25,"3,1","11,4",10:50,"942,3",24,"938,6",14,66,79,Varias,43,00:00
2020-03-04,3195,"MADRID, RETIRO",MADRID,667,"14,9","0,0","10,6",07:00,"19,2",13:15,28,"2,8","10,8",13:40,"944,1",11,"940,5",24,53,84,Varias,34,13:20
2020-03-05,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,5","8,1",23:59,"15,9",13:30,29,"4,4","16,1",14:40,"940,5",00,"935,1",13,48,84,Varias,30,13:20
2020-03-06,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","6,2",04:20,"13,0",16:10,30,"4,2","16,9",10:00,"945,9",24,"937,8",05,42,62,04:20,28,16:00
2020-03-07,3195,"MADRID, RETIRO",MADRID,667,"9,6","0,0","3,5",06:20,"15,8",16:00,35,"1,7","6,9",12:20,"948,6",10,"945,7",03,55,66,07:00,37,00:00
2020-03-08,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","3,5",07:00,"15,2",15:50,28,"1,4","10,3",23:10,"948,6",10,"944,7",15,52,75,06:50,38,13:40
2020-03-09,3195,"MADRID, RETIRO",MADRID,667,"12,1","0,0","7,7",07:20,"16,5",14:10,33,"1,7","11,1",00:40,"948,9",11,"946,2",Varias,40,61,07:50,30,16:40
2020-03-10,3195,"MADRID, RETIRO",MADRID,667,"14,8","0,0","7,4",05:30,"22,3",16:00,24,"1,1","5,8",17:10,"949,8",12,"947,0",18,42,59,Varias,31,16:50
2020-03-11,3195,"MADRID, RETIRO",MADRID,667,"16,9","0,0","9,8",06:00,"24,0",13:50,19,"0,8","4,2",15:20,"948,8",10,"944,8",Varias,45,66,06:20,33,Varias
2020-03-12,3195,"MADRID, RETIRO",MADRID,667,"18,2","0,0","12,5",04:00,"24,0",16:00,99,"1,4","5,3",Varias,"945,1",00,"938,5",19,51,71,Varias,35,16:00
2020-03-13,3195,"MADRID, RETIRO",MADRID,667,"17,3","0,0","11,9",06:00,"22,7",13:40,05,"1,4","6,9",22:10,"940,9",Varias,"938,4",18,48,66,07:10,34,16:20
2020-03-14,3195,"MADRID, RETIRO",MADRID,667,"16,2","0,0","10,6",07:00,"21,8",16:10,04,"1,1","6,9",01:10,"943,7",Varias,"939,1",16,48,68,07:10,34,16:10
2020-03-15,3195,"MADRID, RETIRO",MADRID,667,"15,0","7,7","9,5",23:40,"20,5",13:40,28,"1,9","11,4",18:30,"939,2",00,"931,0",24,50,83,19:50,42,00:40
2020-03-16,3195,"MADRID, RETIRO",MADRID,667,"7,0","3,0","3,9",07:10,"10,2",14:30,13,"1,4","11,4",16:40,"940,7",24,"930,8",04,66,85,Varias,50,14:30
