fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
2020-01-01,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,0","0,0","4,6",01:34,"11,3",Varias,31,"2,2","11,4",00:59,"7,9","982,1",11,"980,3",04,76
2020-01-02,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,0","0,0","5,5",Varias,"12,4",13:10,27,"5,0","10,8",22:01,"5,5","982,2",10,"980,2",24,77
2020-01-03,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,8","0,0","4,4",08:02,"11,1",12:19,27,"5,6","14,2",05:30,"5,6","981,3",23,"979,3",06,73
2020-01-04,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,6","0,0","6,9",20:40,"14,3",13:10,32,"5,0","16,4",21:06,"9,0","982,4",10,"979,1",24,51
2020-01-05,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,4","0,0","5,4",05:20,"15,3",12:36,33,"1,7","14,7",04:59,"9,1","979,3",23,"977,1",14,56
2020-01-06,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,4","0,0","6,7",Varias,"14,0",12:49,30,"1,9","7,5",03:05,"9,0","980,2",24,"978,0",15,69
2020-01-07,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,4","0,0","6,8",03:06,"14,0",Varias,31,"5,3","9,2",13:04,"9,0","980,2",Varias,"977,4",24,49
2020-01-08,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,6","0,0","7,8",06:37,"15,4",13:26,04,"1,7","8,1",02:26,"8,9","981,1",10,"977,2",01,80
2020-01-09,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,0","4,2","7,9",19:20,"14,0",14:08,26,"3,9","9,4",23:36,"8,7","979,9",00,"973,9",24,82
2020-01-10,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,8","12,7","6,3",Varias,"9,3",04:22,34,"5,0","11,9",18:58,"0,8","978,2",24,"973,6",05,87
2020-01-11,0200E,"BARCELONA, FABRA",BARCELONA,408,"5,8","0,0","3,2",06:57,"8,3",14:53,31,"5,8","12,5",03:01,"9,1","980,3",10,"978,0",01,79
2020-01-12,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,7","0,0","5,4",Varias,"14,0",14:10,31,"4,7","11,4",23:54,"9,2","980,4",10,"977,0",24,54
2020-01-13,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,2","0,0","4,6",07:14,"11,7",13:05,34,"4,4","13,6",04:07,"7,5","977,0",00,"971,8",24,52
2020-01-14,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,4","0,0","6,4",07:07,"14,5",14:35,30,"5,8","13,3",08:40,"9,2","973,0",Varias,"971,0",Varias,55
2020-01-15,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,0","0,0","7,5",05:04,"14,5",14:11,26,"3,3","8,6",05:01,"7,9","977,2",24,"972,6",05,57
2020-01-16,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,3","0,0","7,6",05:23,"15,0",13:40,23,"2,5","7,8",22:40,"9,2","978,2",10,"976,1",15,73
2020-01-17,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,8","0,0","8,1",22:00,"15,6",13:05,25,"2,5","14,2",15:52,"8,5","979,5",Varias,"974,4",Varias,53
2020-01-18,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,6","1,2","6,6",08:45,"14,7",13:58,01,"4,2","9,4",02:49,"7,0","979,5",Varias,"970,8",24,65
2020-01-19,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,0",Ip,"5,3",Varias,"8,7",14:41,05,"8,9","25,3",16:26,"0,0","973,0",24,"969,0",06,46
2020-01-20,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,1","15,5","4,7",23:30,"7,5",02:25,05,"14,4","28,6",15:00,"0,7","976,0",20,"971,7",06,62
2020-01-21,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,2","38,4","4,9",00:06,"9,5",21:55,05,"15,6","28,9",09:12,"0,0","974,8",Varias,"970,7",21,98
2020-01-22,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,6","17,1","7,4",04:45,"11,7",Varias,07,"6,9","19,2",15:47,"0,0","973,2",00,"969,5",Varias,96
2020-01-23,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,4",Ip,"8,8",10:09,"14,1",13:57,07,"2,5","20,3",02:43,"6,1","973,7",23,"967,3",03,82
2020-01-24,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,6","0,0","7,7",05:53,"15,6",14:44,31,"3,6","8,1",05:51,"8,3","973,6",00,"971,2",Varias,55
2020-01-25,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,0",Ip,"8,1",05:13,"11,8",13:05,03,"2,2","5,3",01:21,"0,7","982,5",00,"969,5",24,87
2020-01-26,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,4","0,2","8,3",23:50,"14,5",13:54,31,"3,9","8,9",09:31,"5,9","973,4",24,"968,7",Varias,81
2020-01-27,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,4","0,0","5,9",Varias,"12,8",12:50,26,"4,7","10,3",11:46,"5,4","973,4",00,"968,6",Varias,65
2020-01-28,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,2","0,0","8,0",04:52,"14,3",14:27,29,"1,4","15,8",09:38,"0,2","970,2",24,"967,4",06,66
2020-01-29,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,8",Ip,"8,7",07:19,"14,8",15:12,29,"1,1","6,9",00:57,"5,7","972,7",11,"970,0",Varias,85
2020-01-30,0200E,"BARCELONA, FABRA",BARCELONA,408,"14,0","0,0","10,0",06:18,"18,0",13:54,27,"1,9","10,8",02:15,"6,4","972,2",00,"969,9",16,70
