fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,tmed,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2018-01-01,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",32,"5,6","16,9",17:40,"6,9","1009,7",09,"1001,0",17,,,,,,,,,,
2018-01-02,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"0,8","5,3",Varias,"3,5","1009,5",10,"1006,0",00,,,,,,,,,,
2018-01-03,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",32,"0,8","10,3",13:30,"6,8","1007,3",00,"1002,8",14,"12,2","3,7",05:19,"20,6",14:16,70,96,Varias,43,13:19
2018-01-04,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,1","5,0",Varias,"6,7","1004,3",00,"998,9",24,"13,1","4,0",06:55,"22,2",13:39,73,99,Varias,42,13:40
2018-01-05,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,7","8,9",Varias,"8,5","998,9",00,"988,9",14,"11,3","2,9",06:27,"19,7",14:11,66,99,Varias,39,14:11
2018-01-06,0367,GIRONA AEROPUERTO,GIRONA,143,"7,3",06,"1,4","9,2",19:35,"2,9","989,0",00,"984,3",24,"8,1","0,4",04:57,"15,8",13:13,85,98,Varias,66,13:15
2018-01-07,0367,GIRONA AEROPUERTO,GIRONA,143,"15,4",17,"0,8","12,5",14:34,"0,0","992,9",Varias,"984,1",03,"8,6","4,0",23:34,"13,1",00:00,94,100,Varias,83,16:13
2018-01-08,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"2,8","8,3",Varias,"0,7","996,3",Varias,"992,3",00,"6,4","0,6",04:34,"12,2",14:20,90,100,Varias,73,14:51
2018-01-09,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"3,9","10,3",Varias,"5,8","1000,1",Varias,"996,1",00,"7,5","0,7",07:29,"14,3",13:54,68,99,Varias,40,14:32
2018-01-10,0367,GIRONA AEROPUERTO,GIRONA,143,"0,6",23,"0,3","10,3",00:31,"7,5","1000,2",Varias,"995,9",24,"9,2","2,8",08:14,"15,6",13:26,64,89,Varias,37,12:34
2018-01-11,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",03,"0,8","6,1",00:46,"2,3","1002,8",Varias,"995,8",05,"7,4","2,4",23:59,"12,5",11:08,78,95,Varias,57,11:11
2018-01-12,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"1,9","7,2",15:47,"4,6","1007,4",Varias,"1002,6",00,"6,4","-1,8",05:31,"14,7",14:20,70,99,Varias,35,14:13
2018-01-13,0367,GIRONA AEROPUERTO,GIRONA,143,"4,3",99,"4,4","12,8",Varias,"2,6","1006,8",00,"998,9",24,"4,8","-3,4",06:45,"12,9",11:29,78,98,Varias,55,11:31
2018-01-14,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",,"2,8",,,"1,6","1004,6",Varias,"997,2",05,"8,6","6,2",23:36,"11,0",13:30,84,99,00:30,69,16:00
2018-01-15,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",,"3,1",,,"4,7","1008,6",Varias,"1004,6",00,"8,3","2,5",06:19,"14,1",14:14,72,98,Varias,49,14:23
2018-01-16,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"0,8","6,7",Varias,"3,5","1005,4",00,"999,5",24,"10,2","1,6",07:14,"18,9",13:13,63,94,07:23,32,13:19
2018-01-17,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,9","7,8",Varias,"4,1","1009,8",Varias,"997,9",03,"9,6","4,0",07:33,"15,2",11:28,76,97,03:20,57,14:00
2018-01-18,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",20,"1,1","5,8",13:09,"4,5","1009,5",00,"1003,7",15,"9,2","2,6",22:59,"15,8",14:35,75,96,Varias,53,14:55
2018-01-19,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"0,8","4,2",03:33,"2,6","1004,8",Varias,"1001,2",14,"6,5","0,1",06:50,"12,9",13:16,82,98,Varias,62,13:17
2018-01-20,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",24,"1,7","7,8",12:29,"4,0","1005,5",Varias,"999,6",23,"8,8","2,6",07:38,"15,0",13:00,73,97,08:08,50,13:01
2018-01-21,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",17,"0,0","5,8",21:05,"3,7","1005,4",Varias,"999,4",01,"12,5","7,3",05:40,"17,7",13:27,72,92,Varias,50,11:29
2018-01-22,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",02,"1,7","6,1",14:43,"5,1","1007,9",Varias,"1004,4",14,"11,2","4,0",05:42,"18,4",12:44,80,99,Varias,50,12:27
2018-01-23,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",18,"1,1","4,7",13:14,"9,0","1012,3",Varias,"1006,9",00,"10,8","2,7",06:27,"18,8",14:32,80,99,Varias,52,14:33
2018-01-24,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"4,2","10,3",Varias,"8,3","1012,2",00,"1008,0",24,"8,9","0,9",07:11,"16,9",13:16,86,100,Varias,64,13:20
2018-01-25,0367,GIRONA AEROPUERTO,GIRONA,143,"0,4",21,"5,3","15,3",13:32,"5,4","1008,0",00,"998,7",24,"10,9","6,7",07:46,"15,1",14:33,84,100,00:11,69,12:06
2018-01-26,0367,GIRONA AEROPUERTO,GIRONA,143,"6,1",99,"1,7","11,4",06:00,"0,0","1004,8",Varias,"996,2",06,"8,2","6,2",08:30,"10,3",00:25,85,96,09:34,66,14:48
2018-01-27,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"4,4","13,3",Varias,"1,4","1017,8",Varias,"1004,8",00,"8,3","4,3",07:07,"12,3",12:58,74,97,07:00,52,13:01
2018-01-28,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",03,"1,7","7,2",00:03,"9,1","1021,4",Varias,"1017,3",01,"10,6","3,1",23:31,"18,1",14:45,64,97,Varias,41,15:07
2018-01-29,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,1","5,0",Varias,"5,3","1020,1",00,"1015,4",15,"9,0","0,8",06:39,"17,2",14:00,79,99,Varias,50,12:49
2018-01-30,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",16,"0,8","5,8",15:39,"3,9","1015,6",00,"1011,2",16,"7,8","-0,3",06:09,"16,0",14:21,86,100,Varias,58,14:23
2018-01-31,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",17,"1,7","8,9",14:52,"2,4","1011,8",00,"999,4",24,"9,9","3,1",07:24,"16,7",14:22,79,100,Varias,52,14:24
2018-02-01,0367,GIRONA AEROPUERTO,GIRONA,143,"7,1",99,"2,5","8,9",Varias,"0,0","999,4",00,"991,2",16,"5,4","2,2",03:38,"8,6",11:18,97,99,Varias,87,01:43
2018-02-02,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",05,"1,1","9,2",14:22,"3,6","993,2",Varias,"987,9",14,"4,6","-2,4",23:59,"11,5",13:43,58,90,Varias,22,16:15
2018-02-03,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",10,"0,6","7,2",15:54,"8,1","996,1",Varias,"992,9",01,"4,4","-4,7",Varias,"13,6",13:49,58,92,Varias,26,13:45
2018-02-04,0367,GIRONA AEROPUERTO,GIRONA,143,"24,1",01,"1,4","8,3",23:39,"0,2","997,4",Varias,"994,5",00,"3,6","-0,2",01:55,"7,5",12:26,89,96,Varias,79,Varias
2018-02-05,0367,GIRONA AEROPUERTO,GIRONA,143,"37,0",21,"1,9","9,2",18:24,"0,3","995,5",00,"991,7",16,"6,4","3,9",01:51,"9,0",12:39,94,99,Varias,90,12:35
2018-02-06,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,99,"5,0","10,8",Varias,"4,1","993,2",00,"989,7",16,"6,9","3,3",22:54,"10,5",13:10,71,98,Varias,53,18:33
2018-02-07,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,05,"1,4","6,1",14:25,"1,4","1001,1",Varias,"991,8",00,"4,1","-0,1",04:20,"8,3",11:22,68,91,07:00,48,16:05
2018-02-08,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,99,"0,6","4,2",Varias,"0,4","1003,4",Varias,"1000,3",04,"1,0","-2,7",22:46,"4,7",14:50,86,96,Varias,66,12:49
2018-02-09,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,4","5,0",Varias,"3,8","1003,3",00,"999,0",15,"2,4","-5,4",06:29,"10,2",13:44,73,96,Varias,42,12:41
2018-02-10,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",03,"3,3","13,3",13:45,"4,2","1002,3",Varias,"998,2",13,"4,0","-3,3",22:07,"11,4",13:36,38,84,01:00,15,14:42
2018-02-11,0367,GIRONA AEROPUERTO,GIRONA,143,"0,2",99,"0,8","6,1",18:18,"3,1","1002,0",00,"996,6",17,"5,0","-3,7",04:44,"13,8",14:16,55,89,Varias,25,14:07
2018-02-12,0367,GIRONA AEROPUERTO,GIRONA,143,"1,6",24,"2,5","7,8",12:51,"0,0","1002,8",Varias,"997,9",03,"3,4","-0,7",23:59,"7,6",Varias,91,96,Varias,70,00:03
2018-02-13,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,99,"1,1","9,7",Varias,"5,9","1003,4",02,"994,5",15,"2,6","-4,7",06:37,"9,9",15:56,70,99,03:30,40,14:44
2018-02-14,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"2,2","8,3",Varias,"5,6","1002,3",Varias,"998,2",00,"4,8","-2,0",03:32,"11,6",12:41,79,95,23:53,56,11:11
2018-02-15,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",21,"0,8","6,1",15:00,"9,8","1008,0",Varias,"1002,1",00,"10,8","1,6",06:49,"19,9",13:42,73,98,Varias,47,13:21
2018-02-16,0367,GIRONA AEROPUERTO,GIRONA,143,"0,1",99,"0,6","3,6",Varias,"0,0","1008,3",Varias,"1004,5",24,"9,5","3,3",03:06,"15,7",14:53,85,99,Varias,66,14:39
2018-02-17,0367,GIRONA AEROPUERTO,GIRONA,143,"6,2",99,"2,2","6,1",Varias,"0,0","1006,6",Varias,"1002,6",05,"9,7","6,9",23:53,"12,5",13:16,94,100,Varias,82,15:31
2018-02-18,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",09,"0,8","5,8",16:01,"6,4","1006,6",01,"1002,3",24,"11,3","6,2",06:23,"16,4",14:00,79,100,Varias,49,14:08
2018-02-19,0367,GIRONA AEROPUERTO,GIRONA,143,"0,2",99,"1,4","6,1",Varias,"5,5","1002,3",00,"998,1",24,"10,0","5,4",06:17,"14,7",12:20,81,97,Varias,59,12:02
2018-02-20,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,21,"0,8","7,8",15:25,"3,4","998,2",00,"992,5",15,"11,4","6,6",22:13,"16,3",15:05,84,99,Varias,54,15:15
2018-02-21,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",05,"9,4","20,6",11:42,"1,4","993,4",00,"990,9",04,"5,6","-0,9",23:52,"12,1",10:41,54,97,01:22,23,10:34
2018-02-22,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",06,"2,5","11,4",16:55,"1,4","991,8",00,"989,2",14,"3,9","-3,6",06:50,"11,4",13:29,64,94,Varias,35,13:10
2018-02-23,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"0,6","7,8",Varias,"1,5","991,8",Varias,"989,7",14,"5,4","-1,0",23:55,"11,8",13:47,65,95,Varias,31,13:51
2018-02-24,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",13,"1,4","7,8",14:55,"2,7","993,9",Varias,"991,1",14,"4,8","-3,6",06:20,"13,1",13:31,73,98,Varias,42,12:17
2018-02-25,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"2,2","9,7",15:11,"6,8","994,0",Varias,"991,1",15,"8,8","1,8",23:49,"15,7",12:32,72,93,Varias,42,12:38
2018-02-26,0367,GIRONA AEROPUERTO,GIRONA,143,"5,4",04,"1,7","16,1",22:19,"1,4","993,8",Varias,"990,2",14,"4,8","-1,5",06:10,"11,1",11:21,82,97,Varias,32,22:20
2018-02-27,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",05,"2,5","11,7",00:17,"0,9","995,0",Varias,"992,1",15,"2,1","-1,3",07:04,"5,5",12:35,46,76,22:25,29,11:50
2018-02-28,0367,GIRONA AEROPUERTO,GIRONA,143,"9,7",99,"2,2","7,2",Varias,"0,0","994,4",00,"981,9",24,"2,5","-0,2",06:20,"5,2",18:04,91,99,Varias,65,04:09
2018-03-01,0367,GIRONA AEROPUERTO,GIRONA,143,"5,3",22,"2,8","10,3",23:53,"2,2","981,9",00,"971,3",24,"10,5","4,9",Varias,"16,1",15:10,91,100,Varias,70,15:18
2018-03-02,0367,GIRONA AEROPUERTO,GIRONA,143,"0,1",99,"2,8","15,0",Varias,"1,6","985,3",Varias,"971,5",00,"12,0","7,1",05:26,"16,9",14:00,48,94,00:00,26,11:50
2018-03-03,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",14,"4,2","11,4",14:06,"5,3","985,4",Varias,"976,0",04,"12,6","5,9",23:08,"19,2",11:42,63,96,00:38,32,11:45
2018-03-04,0367,GIRONA AEROPUERTO,GIRONA,143,"6,6",24,"2,8","10,8",08:43,"3,4","983,4",00,"979,3",13,"12,0","5,4",02:16,"18,5",11:48,88,98,Varias,58,11:55
2018-03-05,0367,GIRONA AEROPUERTO,GIRONA,143,"10,7",20,"2,2","9,7",11:36,"1,0","982,3",00,"973,0",15,"8,6","4,1",23:15,"13,2",14:28,90,100,Varias,72,18:22
2018-03-06,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",24,"3,1","15,0",17:33,"8,3","985,0",Varias,"976,4",00,"9,6","1,3",Varias,"17,9",13:59,60,99,Varias,34,13:18
2018-03-07,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",17,"2,8","8,9",15:03,"8,1","996,0",Varias,"984,9",00,"8,2","1,8",Varias,"14,6",14:25,75,98,Varias,53,10:25
2018-03-08,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"5,6","12,8",Varias,"3,4","995,8",00,"991,5",14,"8,6","0,9",04:32,"16,3",13:57,79,98,Varias,51,15:10
2018-03-09,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,99,"5,6","16,1",Varias,"7,7","996,8",Varias,"992,6",24,"10,1","2,0",06:30,"18,2",11:50,85,100,Varias,59,10:59
2018-03-10,0367,GIRONA AEROPUERTO,GIRONA,143,"0,2",22,"6,1","16,1",20:44,"8,8","992,7",00,"985,9",24,"15,9","8,8",06:06,"23,0",14:46,76,99,Varias,43,16:23
2018-03-11,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",26,"7,2","16,9",13:57,"6,3","986,0",00,"981,0",15,"14,4","9,5",06:22,"19,4",12:28,46,97,Varias,35,17:08
2018-03-12,0367,GIRONA AEROPUERTO,GIRONA,143,"0,6",04,"1,9","10,8",15:43,"0,0","999,4",Varias,"985,1",00,"11,8","4,3",23:49,"19,3",14:13,71,98,Varias,36,12:05
2018-03-13,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,9","6,1",Varias,,"1000,1",09,"997,1",15,"10,0","3,3",Varias,"16,6",13:41,80,100,Varias,50,12:10
2018-03-14,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"2,5","12,5",15:11,,"999,2",01,"984,7",24,"9,7","1,5",06:32,"17,9",12:26,81,98,Varias,56,12:39
2018-03-15,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",26,"4,7","18,6",13:11,"5,2","986,4",Varias,"980,1",06,"13,4","7,0",23:59,"19,8",15:52,50,96,Varias,28,15:54
2018-03-16,0367,GIRONA AEROPUERTO,GIRONA,143,"0,7",99,"1,9","10,3",Varias,,"987,9",Varias,"983,6",16,"10,2","2,9",05:06,"17,6",11:49,82,95,Varias,40,11:42
2018-03-17,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",21,"1,7","11,4",15:32,"1,8","986,6",00,"979,1",17,"8,1","0,1",05:50,"16,1",12:26,68,98,Varias,34,14:47
2018-03-18,0367,GIRONA AEROPUERTO,GIRONA,143,"0,8",18,"1,9","11,4",Varias,"2,0","989,7",Varias,"980,1",03,"8,0","0,8",05:01,"15,3",12:32,77,97,23:30,39,12:36
2018-03-19,0367,GIRONA AEROPUERTO,GIRONA,143,"4,4",02,"1,9","10,8",22:39,"4,2","990,5",Varias,"983,9",16,"7,2","-1,2",05:18,"15,6",14:06,70,100,Varias,31,14:13
2018-03-20,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",04,"5,0","16,9",12:28,,"998,5",Varias,"983,6",03,"8,0","1,6",23:11,"14,5",12:36,58,94,Varias,27,12:38
2018-03-21,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",04,"7,8","23,6",11:49,"8,7","1004,5",Varias,"998,0",03,"5,2","-2,2",05:26,"12,6",10:34,32,84,05:28,13,10:41
2018-03-22,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"3,1","11,7",Varias,,"1004,3",00,"996,0",24,"8,2","-0,8",06:01,"17,3",14:31,38,85,Varias,13,15:02
2018-03-23,0367,GIRONA AEROPUERTO,GIRONA,143,"3,1",99,"2,8","7,2",Varias,"10,3","996,2",00,"983,3",24,"8,2","-0,8",05:14,"17,2",12:03,67,91,Varias,31,11:53
2018-03-24,0367,GIRONA AEROPUERTO,GIRONA,143,"20,7",03,"8,3","16,4",12:51,,"986,4",Varias,"978,9",05,"6,1","4,4",00:00,"7,8",23:54,97,99,07:00,80,23:57
2018-03-25,0367,GIRONA AEROPUERTO,GIRONA,143,"0,1",01,"1,7","9,7",00:52,"0,3","996,1",24,"986,3",00,"8,8","4,1",23:48,"13,4",14:36,78,97,Varias,57,14:33
2018-03-26,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,26,"0,6","10,3",15:46,"7,1","1004,3",Varias,"996,1",00,"10,4","1,8",05:52,"19,1",11:55,69,99,Varias,38,12:36
2018-03-27,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"2,5","8,3",12:46,"7,1","1005,2",Varias,"1002,2",24,"9,2","1,9",04:57,"16,5",14:16,77,98,Varias,52,14:25
2018-03-28,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"2,5","8,3",13:42,"6,6","1002,3",00,"995,0",16,"13,5","6,2",05:46,"20,8",12:50,75,98,Varias,51,13:08
2018-03-29,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"3,6","13,3",Varias,"4,6","995,3",00,"990,7",16,"12,8","7,3",01:59,"18,4",12:43,79,100,Varias,54,15:08
2018-03-30,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",23,"3,3","13,3",13:25,"8,5","991,1",00,"983,8",15,"12,6","5,1",23:39,"20,0",Varias,51,99,Varias,25,14:57
2018-03-31,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,01,"2,5","12,5",13:07,"5,5","998,6",Varias,"982,0",06,"9,9","3,4",Varias,"16,4",13:00,53,90,23:50,32,12:56
2018-04-01,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"3,9","11,7",Varias,"9,6","1002,4",Varias,"997,8",24,,"0,9",05:14,,,68,95,01:03,42,10:20
2018-04-02,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",17,"6,9","14,4",13:04,"9,0","997,8",00,"993,2",16,"13,8","8,2",01:13,"19,4",12:18,64,94,Varias,25,13:15
2018-04-03,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",20,"4,7","15,0",15:37,"8,0","994,4",00,"989,1",15,"15,3","10,3",05:52,"20,3",14:37,77,95,23:45,62,14:20
2018-04-04,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",25,"4,2","13,9",11:27,"10,5","1005,1",11,"990,7",04,"16,4","9,6",05:26,"23,2",14:20,53,96,Varias,26,15:37
2018-04-05,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"5,8","13,3",Varias,"5,3","1003,7",Varias,"999,3",00,"11,4","4,3",05:41,"18,5",13:20,76,97,Varias,57,09:18
2018-04-06,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",19,"3,9","13,9",11:04,"9,1","1001,6",00,"998,2",16,"12,0","4,3",05:48,"19,8",10:12,78,100,Varias,44,10:57
2018-04-07,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"3,9","8,9",Varias,"4,4","998,5",00,"991,6",24,"14,1","8,9",02:03,"19,3",12:00,69,97,Varias,50,12:04
2018-04-08,0367,GIRONA AEROPUERTO,GIRONA,143,"23,0",02,"1,9","7,2",22:52,"0,0","992,1",00,"986,5",16,"12,0","9,8",23:46,"14,2",11:14,96,99,Varias,79,00:00
2018-04-09,0367,GIRONA AEROPUERTO,GIRONA,143,"1,5",21,"5,8","16,1",16:07,"9,1","991,5",Varias,"989,4",Varias,"12,2","5,2",23:42,"19,3",13:20,70,99,04:25,43,16:41
2018-04-10,0367,GIRONA AEROPUERTO,GIRONA,143,"39,3",99,"5,6","15,3",Varias,"7,9","989,7",00,"983,2",24,"10,0","3,6",Varias,"16,5",11:51,77,97,Varias,46,12:00
2018-04-11,0367,GIRONA AEROPUERTO,GIRONA,143,"12,7",15,"5,0","15,3",04:10,"2,6","983,2",00,"978,1",09,"10,8","7,1",23:55,"14,5",15:05,80,98,Varias,62,15:56
2018-04-12,0367,GIRONA AEROPUERTO,GIRONA,143,"2,2",20,"2,5","9,2",14:21,"1,6","989,6",Varias,"980,7",01,"10,3","4,0",02:42,"16,6",12:12,81,99,Varias,51,10:41
2018-04-13,0367,GIRONA AEROPUERTO,GIRONA,143,"7,8",99,"2,5","7,8",Varias,"0,3","999,2",Varias,"989,4",01,"10,7","5,7",00:06,"15,7",10:59,93,100,Varias,70,11:18
2018-04-14,0367,GIRONA AEROPUERTO,GIRONA,143,"6,5",02,"2,8","8,3",11:27,"0,1","1001,7",Varias,"999,0",00,"12,8","11,2",05:30,"14,4",15:33,90,99,Varias,73,22:55
2018-04-15,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"1,9","8,9",Varias,"1,9","999,1",00,"995,2",13,"16,2","9,2",04:35,"23,3",13:12,66,96,Varias,35,12:35
2018-04-16,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"2,2","7,8",11:03,"0,7","1003,7",Varias,"996,4",03,"15,3","8,7",23:54,"21,9",13:47,69,95,Varias,39,14:06
2018-04-17,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"2,2","8,9",Varias,"7,5","1008,9",Varias,"1003,7",00,"16,1","6,9",04:28,"25,3",12:56,63,97,Varias,33,12:26
2018-04-18,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",15,"1,9","9,2",14:15,"8,6","1010,4",Varias,"1008,5",02,"17,2","7,9",04:44,"26,5",12:03,59,96,Varias,34,11:51
2018-04-19,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",02,"2,5","8,9",10:24,"6,0","1010,3",Varias,"1007,8",18,"17,2","9,9",02:22,"24,5",13:57,60,92,Varias,41,12:09
2018-04-20,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",20,"1,9","7,8",15:00,"10,6","1008,5",00,"1005,3",18,"16,4","7,9",05:00,"24,8",13:00,65,97,05:30,45,11:30
2018-04-21,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",20,"4,2","9,7",Varias,"12,3","1005,6",00,"1001,8",18,"16,6","8,0",04:34,"25,2",11:58,59,97,Varias,36,14:54
2018-04-22,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"3,9","11,4",Varias,"10,8","1002,4",00,"999,9",16,"17,0","8,9",Varias,"25,0",13:10,64,93,Varias,42,11:06
2018-04-23,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",11,"2,5","6,1",12:24,"7,1","1004,2",Varias,"1001,5",01,"17,8","10,6",04:14,"25,0",11:54,63,93,Varias,43,11:49
2018-04-24,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"2,5","8,9",Varias,"11,2","1004,2",Varias,"1001,4",16,"18,7","11,2",04:31,"26,2",11:22,65,97,Varias,42,10:41
2018-04-25,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"2,2","8,3",Varias,"10,3","1002,8",22,"1000,6",04,"18,5","9,7",05:01,"27,3",10:44,69,97,05:17,37,10:41
2018-04-26,0367,GIRONA AEROPUERTO,GIRONA,143,Ip,06,,"10,8",15:30,"10,8",,,,,"18,4","11,6",23:55,"25,2",14:38,,92,01:52,22,16:39
2018-04-27,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",05,"3,3","7,8",12:49,"10,5","998,1",Varias,"995,4",12,"16,0","7,9",02:45,"24,2",11:58,71,97,Varias,50,10:49
2018-04-28,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",99,"4,4","10,3",Varias,"12,1","997,8",00,"992,0",Varias,"16,4","9,8",04:46,"22,9",12:47,65,98,Varias,43,13:22
2018-04-29,0367,GIRONA AEROPUERTO,GIRONA,143,"9,2",26,"5,8","17,5",14:35,"4,7","995,7",Varias,"987,4",13,"12,2","5,9",23:58,"18,6",12:56,79,99,Varias,49,16:05
2018-04-30,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",20,"5,3","13,3",13:20,"10,4","1005,1",10,"994,2",15,"12,4","4,4",01:42,"20,3",12:33,64,97,Varias,35,12:11
2018-05-01,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",32,"1,1","9,7",14:01,"1,1","998,0",Varias,"996,5",17,"10,2","4,1",23:45,"16,4",12:40,70,97,Varias,48,13:45
2018-05-02,0367,GIRONA AEROPUERTO,GIRONA,143,"0,0",14,"2,2","7,8",15:24,"11,0","997,2",00,"992,8",15,"12,0","1,8",03:27,"22,3",15:12,56,98,Varias,29,12:00
2018-05-03,0367,GIRONA AEROPUERTO,GIRONA,143,"0,1",17,"2,5","6,7",11:36,"4,6","994,9",00,"992,0",12,"12,3","4,4",04:53,"20,2",12:21,60,95,Varias,39,11:20
2018-05-04,0367,GIRONA AEROPUERTO,GIRONA,143,"0,5",04,"2,2","10,3",15:53,"1,8","998,2",Varias,"993,5",02,"15,6","9,4",04:38,"21,7",14:02,63,94,05:07,44,14:08
2018-05-05,0367,GIRONA AEROPUERTO,GIRONA,143,"3,3",02,"3,1","8,9",12:44,"1,4","1001,3",Varias,"997,1",03,"17,1","11,8",23:59,"22,4",15:00,70,91,Varias,54,15:56
