fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha
2013-01-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,3","0,0","4,7",06:40,"7,9",13:20,"1,1",95,98,Varias,86,00:00,,,
2013-01-02,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,6","0,0","3,6",23:50,"7,5",12:30,"2,5",78,93,Varias,63,15:20,99,"12,5",13:40
2013-01-03,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"7,4","0,0","2,0",23:50,"12,8",15:00,"0,6",68,89,23:50,45,14:40,,,
2013-01-04,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"7,7","0,0","0,0",07:00,"15,4",15:10,,72,98,Varias,52,16:20,,,
2013-01-05,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"10,0","0,0","3,4",07:10,"16,6",13:50,"1,7",63,98,Varias,39,14:00,05,"10,8",16:50
2013-01-06,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"9,0","0,0","2,0",05:30,"15,9",13:30,"0,8",74,94,Varias,48,13:20,23,"5,0",00:10
2013-01-07,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,8","0,0","0,0",07:30,"13,5",15:20,,83,98,Varias,56,15:20,,,
2013-01-08,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,6","0,0","-0,4",06:50,"11,6",15:00,,84,98,Varias,63,14:40,,,
2013-01-09,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,6","0,0","-0,6",04:30,"5,7",15:10,,98,98,Varias,86,15:00,,,
2013-01-10,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"8,3","0,0","4,2",00:40,"12,4",13:50,"1,9",85,98,Varias,67,14:30,,,
2013-01-11,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,0","0,0","1,3",05:50,"10,8",15:10,"0,8",75,98,Varias,51,15:40,13,"4,4",17:40
2013-01-12,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,0","0,0","2,3",07:20,"9,6",14:00,"0,6",84,96,Varias,70,14:10,30,"14,7",21:50
2013-01-13,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"4,0","0,0","1,7",23:00,"6,3",12:50,"2,5",87,98,Varias,75,13:10,32,"6,9",11:40
2013-01-14,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,5","0,0","0,5",05:40,"2,5",12:00,,98,98,Varias,98,Varias,,,
2013-01-15,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,4","0,0","0,7",01:00,"4,2",08:10,"1,9",98,98,Varias,95,Varias,,,
2013-01-16,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"4,6","0,0","2,5",00:20,"6,8",20:30,"0,6",98,98,Varias,98,Varias,25,"5,3",08:10
2013-01-17,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"4,0","0,0","1,5",08:00,"6,5",00:00,"1,9",56,98,Varias,36,14:40,31,"6,1",00:50
2013-01-18,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"7,4","0,0","2,6",03:00,"12,1",18:00,"1,9",90,98,Varias,77,18:00,28,"12,5",16:30
2013-01-19,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"7,5","0,0","4,0",23:30,"11,0",05:30,"2,5",84,95,Varias,69,13:40,16,"13,9",05:20
2013-01-20,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"4,5","0,0","2,8",09:00,"6,2",19:00,"1,9",82,95,Varias,75,05:50,35,"13,9",06:00
2013-01-21,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"3,8","0,0","1,4",19:00,"6,1",13:00,"2,5",79,98,Varias,65,13:20,32,"11,1",13:20
2013-01-22,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,2","0,0","0,0",23:59,"4,3",14:50,"3,1",78,96,Varias,63,07:30,16,"15,0",07:30
2013-01-23,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,1","0,0","-0,1",02:00,"4,3",15:20,"1,4",96,98,Varias,87,15:50,33,"12,5",08:00
2013-01-24,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,8","0,0","0,6",Varias,"4,9",13:50,"1,9",92,98,Varias,80,21:20,35,"12,2",14:40
2013-01-25,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,0","0,0","-2,9",07:50,"6,9",12:50,"1,9",74,98,Varias,61,13:00,,,
2013-01-26,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,2","0,0","1,8",23:40,"8,6",15:00,"2,8",78,98,Varias,66,15:20,28,"16,1",05:40
2013-01-27,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,1","0,0","2,0",02:00,"8,2",17:10,"0,8",79,95,Varias,63,12:30,34,"9,4",19:40
2013-01-28,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"6,8","0,0","2,4",23:30,"11,3",16:00,"0,8",83,96,Varias,60,15:40,02,"8,3",02:30
2013-01-29,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"7,0","0,0","2,8",08:20,"11,2",14:50,"0,6",78,95,00:00,61,14:20,13,"7,2",22:00
