fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,presMax,horaPresMax,presMin,horaPresMin
2022-01-01,3260B,TOLEDO,TOLEDO,513,"9,4","0,0","1,9",07:40,"17,0",15:00,12,"1,7","5,8",08:20,"8,6",76,99,03:50,58,Varias,,,,
2022-01-02,3260B,TOLEDO,TOLEDO,513,"9,4","0,0","2,1",06:40,"16,7",16:00,12,"1,7","5,0",10:20,"7,9",80,98,Varias,53,15:40,,,,
2022-01-03,3260B,TOLEDO,TOLEDO,513,"10,4","0,0","3,0",06:40,"17,8",15:50,99,"0,6","3,3",15:50,"8,7",74,99,Varias,48,15:50,,,,
2022-01-04,3260B,TOLEDO,TOLEDO,513,,"3,0",,,,,,"3,1",,,"4,7",83,,,,,,,,
2022-01-05,3260B,TOLEDO,TOLEDO,513,"7,6","6,3","3,6",04:20,"11,6",13:50,26,"1,9","8,1",17:40,"6,5",75,99,23:30,54,14:50,,,,
2022-01-06,3260B,TOLEDO,TOLEDO,513,,"0,2",,,,,,"2,8",,,"8,9",78,,,,,,,,
2022-01-07,3260B,TOLEDO,TOLEDO,513,,"0,0",,,,,,,,,"8,6",,,,,,,,,
2022-01-08,3260B,TOLEDO,TOLEDO,513,,"0,0",,,,,,,,,"5,5",,,,,,,,,
2022-01-09,3260B,TOLEDO,TOLEDO,513,,"0,0",,,,,,"3,9",,,"7,0",77,,,,,,,,
2022-01-10,3260B,TOLEDO,TOLEDO,513,,"0,0",,,,,,"1,9",,,"8,8",77,,,,,,,,
2022-01-11,3260B,TOLEDO,TOLEDO,513,,"0,0",,,,,,"1,9",,,"8,9",71,,,,,,,,
2022-01-12,3260B,TOLEDO,TOLEDO,513,"7,3","0,0","1,6",08:30,"13,0",15:50,10,"1,7","6,7",14:30,"9,1",67,97,08:30,46,13:30,,,,
2022-01-13,3260B,TOLEDO,TOLEDO,513,,"0,0",,,,,,"2,8",,,"8,2",69,,,,,,,,
2022-01-14,3260B,TOLEDO,TOLEDO,513,"4,2","0,0","-1,3",06:30,"9,7",15:40,10,"2,2","8,3",09:20,"5,8",76,94,06:30,57,15:20,,,,
2022-01-15,3260B,TOLEDO,TOLEDO,513,"4,3","0,0","-2,9",08:00,"11,5",16:00,99,"1,1","3,9",12:30,"8,9",70,95,08:10,43,16:10,,,,
2022-01-16,3260B,TOLEDO,TOLEDO,513,"4,7","0,0","-2,4",06:10,"11,8",15:30,22,"1,4","4,2",13:40,"8,9",69,92,Varias,46,15:40,,,,
2022-01-17,3260B,TOLEDO,TOLEDO,513,"5,3","0,0","-2,1",07:20,"12,7",15:40,10,"1,7","4,2",13:30,"9,2",66,95,07:20,35,16:20,,,,
2022-01-18,3260B,TOLEDO,TOLEDO,513,"5,1","0,0","-3,1",06:50,"13,3",15:50,10,"2,2","5,6",09:10,,58,91,06:50,29,16:30,,,,
2022-01-19,3260B,TOLEDO,TOLEDO,513,"5,1","0,0","-4,0",07:50,"14,2",16:30,13,"1,4","4,7",13:10,"9,3",50,87,05:20,21,16:20,"970,5",10,"966,9",16
2022-01-20,3260B,TOLEDO,TOLEDO,513,"6,2","0,0","-2,3",04:40,"14,7",15:10,07,"1,4","5,3",16:30,"9,3",52,78,Varias,37,16:40,"968,5",10,"963,9",16
2022-01-21,3260B,TOLEDO,TOLEDO,513,"5,0","0,0","-0,9",07:40,"10,9",14:40,10,"1,4","6,7",14:10,"9,4",63,90,07:40,42,14:30,"965,9",24,"963,0",Varias
2022-01-22,3260B,TOLEDO,TOLEDO,513,"5,0","0,0","-1,7",04:40,"11,7",16:00,08,"2,8","7,2",12:10,"8,4",68,85,Varias,53,Varias,"968,5",11,"965,3",Varias
2022-01-23,3260B,TOLEDO,TOLEDO,513,"6,7","0,0","0,6",01:50,"12,8",15:20,12,"2,5","6,4",15:00,"3,2",74,97,06:50,52,15:20,"966,5",10,"962,9",15
