fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-01-01,1393,CABO VILÁN,A CORUÑA,50,"9,0","0,0","7,1",09:20,"10,9",14:20,19,"2,2","8,9",23:10,85,92,Varias,77,14:20
2020-01-02,1393,CABO VILÁN,A CORUÑA,50,"11,0","1,8","8,8",00:10,"13,1",14:00,19,"9,4","17,8",19:50,82,94,23:59,74,13:30
2020-01-03,1393,CABO VILÁN,A CORUÑA,50,"12,2","0,1","9,5",23:59,"14,8",12:50,99,"1,4","12,5",Varias,90,96,03:10,84,Varias
2020-01-04,1393,CABO VILÁN,A CORUÑA,50,"9,3","0,0","6,6",23:50,"12,0",14:30,04,"5,6","10,8",13:00,84,93,Varias,74,Varias
2020-01-05,1393,CABO VILÁN,A CORUÑA,50,"9,2","0,0","4,7",04:10,"13,6",12:30,23,"3,3","6,4",14:40,84,93,Varias,73,14:10
2020-01-06,1393,CABO VILÁN,A CORUÑA,50,"11,5","0,0","8,6",00:20,"14,4",Varias,20,"6,1","11,1",14:00,82,92,05:40,68,13:50
2020-01-07,1393,CABO VILÁN,A CORUÑA,50,"11,8","0,0","10,0",01:30,"13,5",14:50,17,"6,1","11,1",15:10,85,91,Varias,81,Varias
2020-01-08,1393,CABO VILÁN,A CORUÑA,50,"12,8","2,6","11,3",00:20,"14,2",11:50,17,"5,8","11,7",00:30,95,96,Varias,91,00:00
2020-01-09,1393,CABO VILÁN,A CORUÑA,50,"12,4","1,2","10,6",21:00,"14,1",07:20,22,"9,7","18,9",10:40,82,97,07:00,64,Varias
2020-01-10,1393,CABO VILÁN,A CORUÑA,50,"10,4","0,0","7,7",23:50,"13,0",13:50,34,"4,2","9,4",00:20,73,87,23:40,66,14:00
2020-01-11,1393,CABO VILÁN,A CORUÑA,50,"9,8","0,0","6,1",06:50,"13,6",13:00,21,"4,7","8,6",13:00,76,88,Varias,68,13:40
2020-01-12,1393,CABO VILÁN,A CORUÑA,50,"11,4","14,5","9,5",00:50,"13,3",15:50,17,"5,8","9,4",17:20,87,97,22:50,85,Varias
2020-01-13,1393,CABO VILÁN,A CORUÑA,50,"12,0","13,4","10,7",11:00,"13,2",23:30,19,"13,6","25,0",21:00,95,96,Varias,93,13:50
2020-01-14,1393,CABO VILÁN,A CORUÑA,50,"13,8","14,2","12,6",01:30,"14,9",12:20,20,"16,4","27,2",20:40,90,96,03:00,83,Varias
2020-01-15,1393,CABO VILÁN,A CORUÑA,50,"12,0","2,1","9,4",08:50,"14,5",00:20,19,"4,7","30,6",00:30,77,95,Varias,61,13:50
2020-01-16,1393,CABO VILÁN,A CORUÑA,50,"12,2","54,5","9,4",21:20,"15,0",02:50,20,"12,2","28,6",06:10,93,96,Varias,82,23:59
2020-01-17,1393,CABO VILÁN,A CORUÑA,50,"10,8","0,5","8,6",07:50,"13,0",11:50,27,"4,7","15,6",00:20,73,85,05:00,64,23:50
2020-01-18,1393,CABO VILÁN,A CORUÑA,50,"12,2","3,1","10,4",23:20,"14,1",09:00,22,"9,2","18,9",09:40,82,95,Varias,60,00:40
2020-01-19,1393,CABO VILÁN,A CORUÑA,50,"10,6","0,0","9,4",04:30,"11,8",12:00,03,"13,6","26,9",07:20,61,95,00:50,54,Varias
2020-01-20,1393,CABO VILÁN,A CORUÑA,50,"9,7","0,0","8,4",07:30,"11,0",12:20,04,"14,7","31,1",20:00,50,60,04:10,46,13:20
2020-01-21,1393,CABO VILÁN,A CORUÑA,50,"10,1","0,0","8,8",04:20,"11,4",12:00,03,"17,2","28,6",13:30,65,71,Varias,53,00:00
2020-01-22,1393,CABO VILÁN,A CORUÑA,50,"11,0","5,0","9,7",21:40,"12,4",05:40,02,"15,3","23,6",08:10,83,98,Varias,71,Varias
2020-01-23,1393,CABO VILÁN,A CORUÑA,50,"10,0","0,0","6,7",06:30,"13,3",15:30,03,"3,6","15,3",00:10,82,98,Varias,70,Varias
2020-01-24,1393,CABO VILÁN,A CORUÑA,50,"12,4","0,0","8,4",23:59,"16,3",13:30,14,"2,5","5,8",05:50,68,93,23:50,59,Varias
2020-01-25,1393,CABO VILÁN,A CORUÑA,50,"11,0","0,0","7,4",04:00,"14,5",14:20,99,"1,9","6,7",23:30,82,94,Varias,69,Varias
2020-01-26,1393,CABO VILÁN,A CORUÑA,50,"12,3","5,9","9,7",Varias,"14,9",12:40,20,"10,3","20,8",22:30,84,96,Varias,76,12:40
2020-01-27,1393,CABO VILÁN,A CORUÑA,50,"12,2","6,9","11,1",02:30,"13,4",12:40,21,"11,7","20,8",Varias,95,96,Varias,91,23:59
2020-01-28,1393,CABO VILÁN,A CORUÑA,50,"13,0","11,3","10,9",07:00,"15,0",12:30,,,,,88,95,Varias,81,12:30
2020-01-29,1393,CABO VILÁN,A CORUÑA,50,"13,4","45,4","12,4",03:30,"14,5",10:20,21,"11,4","21,1",14:40,95,96,Varias,95,Varias
2020-01-30,1393,CABO VILÁN,A CORUÑA,50,"14,6","2,4","13,4",23:50,"15,8",11:50,20,"10,8","23,6",05:30,95,96,Varias,95,Varias
2020-01-31,1393,CABO VILÁN,A CORUÑA,50,"14,3","17,1","13,3",08:00,"15,3",12:40,21,"11,7","19,2",19:30,96,96,Varias,96,Varias
2020-02-01,1393,CABO VILÁN,A CORUÑA,50,"14,4","1,7","13,3",04:30,"15,6",13:10,21,"11,1","20,0",23:20,96,97,07:00,95,00:00
2020-02-02,1393,CABO VILÁN,A CORUÑA,50,"15,0","0,1","13,7",06:40,"16,3",13:40,19,"13,1","22,5",12:30,85,96,Varias,60,23:00
