fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2016-01-01,1700X,O CARBALLIÑO,OURENSE,400,"8,7","15,1","6,0",06:00,"11,4",15:00,29,"1,7","12,8",20:30,86,97,12:40,74,15:10
2016-01-02,1700X,O CARBALLIÑO,OURENSE,400,"6,3","3,8","2,7",07:50,"9,9",15:30,30,"0,3","5,8",02:10,89,98,Varias,77,15:40
2016-01-03,1700X,O CARBALLIÑO,OURENSE,400,"10,4","36,3","7,9",00:40,"12,9",16:00,27,"1,7","11,1",17:00,95,97,Varias,82,Varias
2016-01-04,1700X,O CARBALLIÑO,OURENSE,400,"6,4","16,9","3,7",23:59,"9,0",00:10,29,"0,8","7,5",01:40,96,97,Varias,79,01:50
2016-01-05,1700X,O CARBALLIÑO,OURENSE,400,"4,6","3,3","2,1",23:59,"7,1",15:00,29,"1,1","8,3",02:50,88,96,Varias,77,15:10
2016-01-06,1700X,O CARBALLIÑO,OURENSE,400,"6,3","13,8","1,8",00:20,"10,8",23:59,30,"1,1","10,3",17:50,97,98,Varias,88,21:30
2016-01-07,1700X,O CARBALLIÑO,OURENSE,400,"12,2","18,6","10,7",Varias,"13,6",14:20,23,"1,9","11,4",14:40,92,96,Varias,86,03:20
2016-01-08,1700X,O CARBALLIÑO,OURENSE,400,"8,2","25,2","4,2",23:59,"12,2",04:00,29,"1,1","11,1",03:50,94,97,12:40,85,04:40
2016-01-09,1700X,O CARBALLIÑO,OURENSE,400,"7,1","39,5","4,2",00:20,"10,0",14:50,30,"2,2","15,6",23:59,91,97,03:50,83,14:50
2016-01-10,1700X,O CARBALLIÑO,OURENSE,400,"8,6","35,0","7,3",20:00,"10,0",17:00,24,"1,9","14,2",23:40,93,97,15:00,79,23:50
2016-01-11,1700X,O CARBALLIÑO,OURENSE,400,"6,4","10,4","2,8",23:59,"10,1",14:00,22,"1,7","13,6",01:40,84,95,Varias,66,14:00
2016-01-12,1700X,O CARBALLIÑO,OURENSE,400,"6,2","1,8","1,8",02:50,"10,5",15:30,16,"0,3","4,2",14:50,90,98,Varias,68,16:00
2016-01-13,1700X,O CARBALLIÑO,OURENSE,400,"6,1","23,0","2,0",01:00,"10,2",19:30,16,"1,4","11,4",19:20,91,97,Varias,84,Varias
2016-01-14,1700X,O CARBALLIÑO,OURENSE,400,"7,4","0,2","4,1",23:59,"10,8",14:10,19,"1,4","8,6",00:20,80,97,Varias,61,Varias
2016-01-15,1700X,O CARBALLIÑO,OURENSE,400,"5,8","0,0","0,9",23:59,"10,7",14:10,04,"1,4","8,6",12:00,70,88,Varias,50,14:10
2016-01-16,1700X,O CARBALLIÑO,OURENSE,400,"4,6","0,1","-3,0",08:00,"12,3",15:30,12,"0,3","5,0",11:50,63,97,10:10,38,15:20
2016-01-17,1700X,O CARBALLIÑO,OURENSE,400,"3,4","11,7","-0,1",01:30,"7,0",13:00,05,"0,3","3,3",02:50,81,97,Varias,65,Varias
2016-01-18,1700X,O CARBALLIÑO,OURENSE,400,"5,4","0,3","1,4",23:59,"9,5",13:20,22,"1,1","8,1",07:40,85,97,Varias,67,13:30
2016-01-19,1700X,O CARBALLIÑO,OURENSE,400,"5,2","0,0","0,2",07:40,"10,3",14:20,10,"0,3","3,6",14:20,88,98,Varias,68,14:20
2016-01-20,1700X,O CARBALLIÑO,OURENSE,400,"6,6","0,9","3,0",05:00,"10,3",13:00,11,"0,0","3,9",11:40,84,95,Varias,74,Varias
2016-01-21,1700X,O CARBALLIÑO,OURENSE,400,"10,8","1,5","7,8",00:40,"13,9",17:00,08,"0,6","3,1",10:50,91,97,Varias,86,16:50
2016-01-22,1700X,O CARBALLIÑO,OURENSE,400,"12,8","1,0","10,8",Varias,"14,9",13:50,25,"0,3","3,6",14:20,91,97,Varias,83,14:20
2016-01-23,1700X,O CARBALLIÑO,OURENSE,400,"12,6","0,0","8,9",23:59,"16,4",15:00,10,"0,0","4,2",16:50,88,97,Varias,74,16:30
2016-01-24,1700X,O CARBALLIÑO,OURENSE,400,"13,0","2,1","7,7",02:30,"18,4",13:00,10,"0,8","8,1",14:10,73,96,Varias,53,Varias
2016-01-25,1700X,O CARBALLIÑO,OURENSE,400,"8,8","7,4","5,2",23:59,"12,4",05:00,25,"0,3","7,2",11:40,92,96,Varias,76,04:30
2016-01-26,1700X,O CARBALLIÑO,OURENSE,400,"6,4","0,0","2,4",03:40,"10,5",15:50,31,"0,3","4,4",16:00,92,99,Varias,74,16:10
2016-01-27,1700X,O CARBALLIÑO,OURENSE,400,"7,6","5,8","3,6",07:00,"11,5",13:00,22,"0,8","8,3",13:20,77,95,04:50,66,Varias
2016-01-28,1700X,O CARBALLIÑO,OURENSE,400,"7,6","2,8","4,7",23:59,"10,4",01:00,20,"1,1","10,0",00:40,91,97,Varias,78,22:30
