fecha,indicativo,nombre,provincia,altitud,prec,velmedia,hrMedia,tmed,tmin,horatmin,tmax,horatmax,dir,racha,horaracha,hrMax,horaHrMax,hrMin,horaHrMin
2021-01-03,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,7",52,,,,,,,,,,,,
2021-01-04,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","2,2",58,"6,6","2,8",22:08,"10,5",13:48,28,"10,0",13:20,78,00:00,43,14:30
2021-01-05,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",63,"7,0","2,2",22:59,"11,7",11:58,32,"5,3",00:20,74,18:40,47,12:00
2021-01-08,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,1",59,"5,6","2,3",07:33,"8,9",13:10,35,"10,3",23:59,71,00:50,42,22:30
2021-01-09,0244X,VILASSAR DE DALT,BARCELONA,56,"4,8","7,2",79,,,,,,,,,,,,
2021-01-10,0244X,VILASSAR DE DALT,BARCELONA,56,,"3,3",65,,,,,,,,,,,,
2021-01-11,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",65,"7,1","3,0",23:03,"11,2",11:41,32,"7,5",23:50,79,00:50,53,11:50
2021-01-12,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","0,8",57,"7,1","2,0",06:02,"12,2",12:14,30,"10,3",23:20,69,06:10,41,13:30
2021-01-13,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,9",54,,,,,,,,,,,,
2021-01-15,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,4",73,"8,4","4,2",04:13,"12,5",11:12,04,"5,8",12:30,87,23:40,65,02:20
2021-01-16,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,9",60,"9,6","5,0",05:02,"14,3",11:31,24,"6,9",12:30,88,00:30,43,13:20
2021-01-17,0244X,VILASSAR DE DALT,BARCELONA,56,,"0,8",59,"11,7","5,3",03:04,"18,1",11:41,36,"5,3",12:00,84,23:50,38,11:50
2021-01-18,0244X,VILASSAR DE DALT,BARCELONA,56,,"0,6",79,,,,,,,,,,,,
2021-01-19,0244X,VILASSAR DE DALT,BARCELONA,56,,"1,9",77,,,,,,,,,,,,
2021-01-24,0244X,VILASSAR DE DALT,BARCELONA,56,,,61,,,,,,,,,,,,
2021-02-20,0244X,VILASSAR DE DALT,BARCELONA,56,"0,0","1,1",80,"11,8","8,1",03:36,"15,5",14:35,20,"5,0",13:10,94,03:50,67,14:40
2021-02-21,0244X,VILASSAR DE DALT,BARCELONA,56,"0,2","6,1",79,"13,3","11,0",01:35,"15,6",11:22,08,"15,0",12:20,87,00:40,70,11:10
2021-02-22,0244X,VILASSAR DE DALT,BARCELONA,56,"6,2","1,4",91,"13,3","11,8",18:52,"14,8",Varias,,,,96,Varias,80,00:00
