fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2019-01-01,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","1,4",07:30,"11,7",15:10,06,"0,3","5,3",00:00,"953,9",09,"951,5",05,49,68,23:50,41,14:20
2019-01-02,3195,"MADRID, RETIRO",MADRID,667,"6,0","0,0","0,4",06:30,"11,7",15:15,06,"0,6","7,8",23:20,"952,5",00,"948,3",16,54,74,08:20,41,14:50
2019-01-03,3195,"MADRID, RETIRO",MADRID,667,"7,3","0,0","2,8",07:00,"11,8",15:20,05,"0,6","7,8",00:10,"951,4",10,"949,0",05,46,54,Varias,37,15:30
2019-01-04,3195,"MADRID, RETIRO",MADRID,667,"5,9","0,0","0,4",08:05,"11,4",15:10,06,"0,3","3,6",05:40,"952,9",Varias,"949,9",05,60,79,09:00,43,15:00
2019-01-05,3195,"MADRID, RETIRO",MADRID,667,"5,4","0,0","-0,1",08:00,"10,8",15:00,09,"0,6","3,1",10:40,"955,2",12,"952,5",00,54,72,Varias,43,14:30
2019-01-06,3195,"MADRID, RETIRO",MADRID,667,"6,6","0,0","-0,5",Varias,"13,8",15:30,02,"1,1","3,3",16:00,"953,3",Varias,"950,2",15,49,80,05:30,30,16:30
2019-01-07,3195,"MADRID, RETIRO",MADRID,667,"7,1","0,0","0,5",08:00,"13,7",15:40,08,"0,6","5,0",21:50,"951,2",10,"948,6",14,43,64,08:50,29,15:20
2019-01-08,3195,"MADRID, RETIRO",MADRID,667,"7,1","0,0","1,2",08:00,"13,0",15:40,34,"0,8","3,6",20:20,"952,5",11,"947,8",24,47,62,06:30,33,15:30
2019-01-09,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","2,0",08:00,"13,2",14:40,03,"1,4","9,7",16:00,"948,2",00,"941,3",19,56,77,07:30,38,Varias
2019-01-10,3195,"MADRID, RETIRO",MADRID,667,"4,7","0,0","0,6",06:10,"8,8",14:05,03,"2,8","10,0",19:40,"945,1",24,"940,2",05,55,75,06:00,40,15:30
2019-01-11,3195,"MADRID, RETIRO",MADRID,667,"2,8","0,0","-1,8",07:10,"7,4",16:10,04,"0,6","6,1",00:40,"949,6",23,"944,7",01,53,64,07:00,44,14:50
2019-01-12,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,0","-0,8",07:50,"9,5",15:40,11,"0,8","4,2",09:50,"952,0",10,"948,9",Varias,60,78,08:00,49,15:50
2019-01-13,3195,"MADRID, RETIRO",MADRID,667,"5,0","0,0","-0,7",06:40,"10,8",15:40,99,"0,8","3,6",Varias,"950,0",Varias,"945,5",24,67,83,Varias,49,15:20
2019-01-14,3195,"MADRID, RETIRO",MADRID,667,"6,8","0,0","1,0",07:50,"12,6",15:30,05,"0,6","3,9",20:40,"947,4",01,"943,5",18,64,82,08:30,50,14:00
2019-01-15,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","3,1",01:50,"12,2",15:10,,"1,4",,,"944,6",11,"941,3",17,55,72,02:00,43,16:00
2019-01-16,3195,"MADRID, RETIRO",MADRID,667,"5,7","0,0","1,4",04:40,"10,0",15:30,25,"1,1","6,4",16:00,"942,2",00,"939,0",15,72,88,23:59,59,14:00
2019-01-17,3195,"MADRID, RETIRO",MADRID,667,"5,6","0,0","2,7",00:10,"8,5",15:40,04,"0,3","4,7",23:40,"942,8",23,"939,5",Varias,81,91,00:40,63,Varias
2019-01-18,3195,"MADRID, RETIRO",MADRID,667,"3,6","0,0","-0,3",07:50,"7,6",15:15,24,"1,1","6,1",14:00,"942,5",Varias,"940,0",20,67,81,Varias,52,15:50
2019-01-19,3195,"MADRID, RETIRO",MADRID,667,"2,0","5,9","-0,5",Varias,"4,4",13:40,24,"0,6","5,3",13:30,"939,8",00,"931,9",23,86,94,Varias,76,00:00
2019-01-20,3195,"MADRID, RETIRO",MADRID,667,"6,4","0,0","3,3",03:50,"9,5",13:50,36,"2,2","11,7",12:30,"941,1",24,"930,4",Varias,62,94,Varias,44,Varias
2019-01-21,3195,"MADRID, RETIRO",MADRID,667,"5,4","0,0","1,4",06:10,"9,4",12:40,35,"3,6","10,6",10:00,"943,8",Varias,"940,8",01,52,79,06:00,38,14:50
2019-01-22,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,4","0,7",04:40,"8,0",13:20,29,"1,9","11,1",14:10,"945,0",00,"935,0",23,71,88,19:20,55,13:10
2019-01-23,3195,"MADRID, RETIRO",MADRID,667,"9,2","0,0","5,2",00:30,"13,1",13:15,30,"4,4","17,5",11:10,"934,1",00,"929,3",14,55,73,00:20,49,Varias
2019-01-24,3195,"MADRID, RETIRO",MADRID,667,"11,6","0,0","8,7",07:45,"14,6",12:20,31,"2,2","12,2",05:10,"938,6",24,"931,5",02,53,66,22:40,46,12:30
2019-01-25,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","5,2",07:10,"15,2",13:40,04,"3,3","10,0",12:30,"943,3",24,"938,2",01,53,84,05:30,33,14:10
2019-01-26,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","2,2",07:45,"12,6",15:15,22,"1,1","5,0",14:50,"943,9",12,"939,3",24,62,81,08:00,47,15:00
2019-01-27,3195,"MADRID, RETIRO",MADRID,667,"6,9","0,0","2,4",04:50,"11,4",13:30,32,"2,2","14,7",08:00,"940,0",24,"936,0",08,53,86,05:10,38,Varias
2019-01-28,3195,"MADRID, RETIRO",MADRID,667,"8,4","0,0","3,7",06:50,"13,0",13:30,26,"3,9","15,3",13:10,"940,7",00,"935,7",13,52,65,08:30,44,15:30
2019-01-29,3195,"MADRID, RETIRO",MADRID,667,"7,9",Ip,"5,3",Varias,"10,5",19:20,30,"2,8","14,7",20:00,"939,8",01,"932,9",17,64,73,18:30,52,21:00
2019-01-30,3195,"MADRID, RETIRO",MADRID,667,"7,2","4,1","4,2",07:50,"10,1",13:50,26,"3,3","10,8",12:50,"936,1",10,"928,3",24,55,95,23:30,39,13:40
2019-01-31,3195,"MADRID, RETIRO",MADRID,667,"9,4","8,2","6,4",00:00,"12,4",13:20,25,"5,3","17,2",17:30,"928,8",00,"921,8",24,75,94,Varias,69,12:50
2019-02-01,3195,"MADRID, RETIRO",MADRID,667,"6,4","1,0","3,5",17:50,"9,4",01:30,26,"3,9","16,1",14:10,"922,0",23,"916,0",16,74,92,00:30,54,23:59
2019-02-02,3195,"MADRID, RETIRO",MADRID,667,"4,6","0,0","1,6",21:30,"7,5",13:25,32,"3,9","14,2",07:00,"940,1",24,"920,7",00,48,58,20:20,38,14:00
2019-02-03,3195,"MADRID, RETIRO",MADRID,667,"4,0","0,0","-0,3",07:50,"8,2",14:30,05,"1,4","12,2",02:40,"949,8",24,"941,3",00,46,65,08:20,36,15:30
2019-02-04,3195,"MADRID, RETIRO",MADRID,667,"4,8","0,0","-1,4",07:20,"10,9",15:55,23,"0,8","3,6",16:40,"951,0",10,"949,0",17,54,76,07:30,36,Varias
2019-02-05,3195,"MADRID, RETIRO",MADRID,667,"8,1","0,0","1,7",08:00,"14,5",16:10,23,"0,8","5,0",10:50,"951,6",11,"948,8",17,54,72,08:00,42,Varias
2019-02-06,3195,"MADRID, RETIRO",MADRID,667,"9,7","0,0","4,4",07:50,"15,0",16:05,26,"1,7","6,1",15:00,"949,5",00,"945,0",23,59,,,,
2019-02-07,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","3,0",07:55,"15,0",16:10,23,"0,8","4,4",18:40,"946,0",11,"942,3",15,60,85,Varias,40,Varias
2019-02-08,3195,"MADRID, RETIRO",MADRID,667,"8,6","0,0","2,8",07:00,"14,3",16:15,24,"1,1","7,8",16:00,"945,5",00,"942,7",17,59,78,07:30,38,16:10
2019-02-09,3195,"MADRID, RETIRO",MADRID,667,"7,4","0,0","2,9",08:10,"11,8",16:10,24,"1,1","6,1",19:30,"946,0",11,"943,0",17,72,93,08:30,50,15:40
2019-02-10,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","4,1",04:50,"11,2",13:20,24,"2,5","10,8",12:30,"946,0",23,"943,0",05,78,91,07:30,67,13:20
2019-02-11,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","5,7",07:10,"13,0",14:50,04,"1,7","8,6",09:00,"952,0",24,"945,5",00,49,88,00:00,32,14:20
2019-02-12,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","3,0",07:20,"13,0",16:30,05,"0,8","8,3",00:30,"953,8",11,"951,1",15,50,69,07:30,39,15:50
2019-02-13,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","4,4",Varias,"14,5",16:30,12,"0,8","4,7",13:10,"952,6",11,"949,9",Varias,48,62,07:50,40,16:40
2019-02-14,3195,"MADRID, RETIRO",MADRID,667,"8,0","0,0","3,0",07:30,"13,1",16:40,99,"0,8","5,0",Varias,"953,7",10,"949,9",17,51,63,07:00,43,00:00
2019-02-15,3195,"MADRID, RETIRO",MADRID,667,"9,0","0,0","3,4",07:30,"14,6",15:30,10,"0,8","4,4",21:00,"950,4",Varias,"947,0",17,51,64,Varias,40,16:30
2019-02-16,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","5,9",08:10,"16,2",14:00,12,"2,8","8,1",14:50,"949,2",11,"946,0",Varias,42,60,Varias,30,Varias
2019-02-17,3195,"MADRID, RETIRO",MADRID,667,"9,5","0,0","4,0",07:20,"15,0",16:20,05,"1,7","6,7",06:40,"948,3",00,"940,4",17,38,52,Varias,29,16:20
2019-02-18,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","4,5",07:20,"14,3",16:10,14,"1,1","5,0",12:00,"942,9",10,"939,5",15,53,72,04:10,43,15:50
2019-02-19,3195,"MADRID, RETIRO",MADRID,667,"9,7","0,0","5,4",06:40,"14,0",16:30,08,"0,8","4,4",11:50,"942,9",Varias,"940,5",16,56,75,23:50,45,16:40
2019-02-20,3195,"MADRID, RETIRO",MADRID,667,"9,4","0,0","4,3",06:20,"14,5",16:05,25,"0,6","5,3",15:50,"947,2",24,"942,8",00,57,78,06:50,46,16:10
2019-02-21,3195,"MADRID, RETIRO",MADRID,667,"10,7","0,0","5,2",07:30,"16,2",16:10,05,"0,8","5,0",01:40,"953,0",24,"946,8",00,51,71,06:00,36,17:10
2019-02-22,3195,"MADRID, RETIRO",MADRID,667,"11,6","0,0","5,0",07:15,"18,1",15:10,06,"0,8","6,1",03:50,"953,7",09,"949,7",17,41,59,07:30,27,15:30
2019-02-23,3195,"MADRID, RETIRO",MADRID,667,"10,9","0,0","3,7",07:20,"18,1",Varias,04,"0,6","5,6",05:40,"952,3",10,"948,7",18,40,59,07:50,31,16:00
2019-02-24,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","8,1",06:40,"18,7",13:40,04,"0,8","6,1",08:00,"954,1",24,"949,9",Varias,40,50,03:10,32,13:40
2019-02-25,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,4",06:40,"18,5",16:00,04,"0,8","4,2",06:00,"954,5",Varias,"948,9",17,45,62,06:40,37,16:30
2019-02-26,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","7,1",06:50,"19,8",16:10,16,"1,7","6,9",16:30,"952,0",12,"950,0",Varias,44,63,06:50,28,16:40
2019-02-27,3195,"MADRID, RETIRO",MADRID,667,"13,4","0,0","7,0",06:50,"19,8",16:10,28,"1,4","5,3",15:50,"951,2",00,"948,6",Varias,38,49,Varias,28,16:00
2019-02-28,3195,"MADRID, RETIRO",MADRID,667,"12,4","0,0","6,2",07:15,"18,6",15:30,06,"0,8","5,0",23:50,"951,5",10,"947,5",24,42,57,07:40,34,15:30
2019-03-01,3195,"MADRID, RETIRO",MADRID,667,"13,2","0,0","6,8",06:50,"19,5",16:20,06,"1,7","7,2",01:20,"946,8",00,"944,1",17,44,58,06:30,34,Varias
2019-03-02,3195,"MADRID, RETIRO",MADRID,667,"13,8","0,0","8,0",06:10,"19,7",16:10,16,"1,9","5,8",13:30,"948,5",11,"946,0",Varias,48,60,07:00,37,16:00
2019-03-03,3195,"MADRID, RETIRO",MADRID,667,"13,2","0,0","6,1",06:50,"20,2",13:50,24,"1,9","10,3",16:30,"946,5",09,"941,6",Varias,49,62,Varias,36,13:50
2019-03-04,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","8,5",04:55,"15,5",14:30,26,"3,6","11,1",14:30,"942,4",08,"940,5",17,65,86,Varias,48,16:00
2019-03-05,3195,"MADRID, RETIRO",MADRID,667,"12,0","0,0","8,7",06:45,"15,2",16:10,23,"3,3","11,7",14:50,"941,3",09,"934,5",24,56,69,08:00,50,Varias
2019-03-06,3195,"MADRID, RETIRO",MADRID,667,"9,6","8,2","5,7",23:59,"13,4",12:50,23,"4,2","17,8",13:10,"935,8",24,"926,7",13,66,91,10:40,55,16:30
2019-03-07,3195,"MADRID, RETIRO",MADRID,667,"7,6","0,0","3,2",06:00,"12,1",13:40,25,"2,5","9,4",17:00,"940,3",10,"935,8",00,54,86,01:10,43,15:40
2019-03-08,3195,"MADRID, RETIRO",MADRID,667,"10,1","0,0","5,3",06:40,"14,9",13:30,08,"0,8","5,3",10:30,"950,0",23,"940,0",00,59,88,06:50,40,16:00
2019-03-09,3195,"MADRID, RETIRO",MADRID,667,"11,5","0,0","5,0",06:50,"18,0",16:50,13,"0,6","4,7",11:20,"954,8",11,"950,7",00,52,75,07:00,36,15:00
