fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,horatmax
2022-02-07,1393,CABO VILÁN,A CORUÑA,50,"11,4","0,0","9,6",23:59,"13,2",02,"8,1","15,8",13:50,73,84,05:00,63,14:00,14:20
2022-02-08,1393,CABO VILÁN,A CORUÑA,50,"11,5","0,0","6,6",06:50,"16,4",06,"2,8","9,7",04:10,65,78,01:50,37,Varias,13:50
2022-02-09,1393,CABO VILÁN,A CORUÑA,50,"13,4","0,0","10,5",04:30,"16,2",20,"6,9","12,2",Varias,68,86,Varias,36,00:00,15:20
2022-02-10,1393,CABO VILÁN,A CORUÑA,50,"11,6","3,5","9,7",18:00,"13,4",02,"4,4","10,8",22:30,87,91,Varias,78,10:50,11:30
2022-02-11,1393,CABO VILÁN,A CORUÑA,50,"11,5","0,0","9,2",04:00,"13,8",04,"6,4","12,2",07:40,79,88,Varias,67,12:20,12:10
2022-02-12,1393,CABO VILÁN,A CORUÑA,50,"11,0","4,8","7,6",06:00,"14,5",20,"2,5","12,5",23:50,77,89,Varias,57,16:10,13:30
2022-02-13,1393,CABO VILÁN,A CORUÑA,50,"11,4","20,5","8,7",21:00,"14,0",18,"10,8","25,3",11:10,84,92,07:30,60,23:30,13:50
2022-02-14,1393,CABO VILÁN,A CORUÑA,50,"11,0","0,4","8,5",04:30,"13,6",27,"5,8","16,9",04:10,67,76,04:50,57,13:10,12:50
2022-02-15,1393,CABO VILÁN,A CORUÑA,50,"11,5","0,6","9,0",00:50,"14,0",22,"9,7","16,1",13:20,69,89,23:00,63,03:10,13:50
2022-02-16,1393,CABO VILÁN,A CORUÑA,50,"13,0","0,9","12,2",01:00,"13,7",22,"9,7","15,3",01:50,91,92,Varias,84,20:40,14:00
2022-02-17,1393,CABO VILÁN,A CORUÑA,50,"13,5","1,2","12,0",19:00,"15,0",20,"8,6","15,3",23:40,81,90,Varias,70,12:50,14:40
2022-02-18,1393,CABO VILÁN,A CORUÑA,50,"10,2","1,1","7,9",21:00,"12,6",22,"7,2","16,9",06:00,70,90,02:20,50,Varias,05:00
2022-02-19,1393,CABO VILÁN,A CORUÑA,50,"10,8","0,0","8,1",02:00,"13,4",02,"4,2","11,4",01:50,58,79,Varias,46,13:10,13:20
2022-02-20,1393,CABO VILÁN,A CORUÑA,50,"12,8","1,7","10,0",Varias,"15,5",99,"2,5","6,4",20:30,76,86,Varias,64,14:00,13:40
2022-02-21,1393,CABO VILÁN,A CORUÑA,50,"11,5","0,0","8,8",23:20,"14,2",04,"6,1","11,4",18:20,82,90,Varias,75,23:40,12:00
2022-02-22,1393,CABO VILÁN,A CORUÑA,50,"10,7","0,0","7,6",07:50,"13,8",02,"7,5","13,1",13:20,70,88,04:50,45,17:20,16:20
2022-02-23,1393,CABO VILÁN,A CORUÑA,50,"10,6","0,0","8,7",02:40,"12,6",02,"8,6","13,3",19:20,74,82,Varias,66,02:40,12:20
2022-02-24,1393,CABO VILÁN,A CORUÑA,50,"11,2","0,1","9,0",01:50,"13,3",02,"10,8","20,6",23:40,72,83,Varias,64,Varias,13:00
2022-02-25,1393,CABO VILÁN,A CORUÑA,50,"9,9","0,0","7,2",22:40,"12,6",04,"12,5","22,5",05:40,63,73,23:30,56,12:00,12:40
2022-02-26,1393,CABO VILÁN,A CORUÑA,50,"12,0","0,5","7,7",00:10,"16,3",20,"5,3","10,8",16:10,55,78,19:20,43,07:20,12:20
2022-02-27,1393,CABO VILÁN,A CORUÑA,50,"12,2","5,3","9,7",01:00,"14,6",24,"4,2","10,8",08:20,78,90,Varias,65,16:50,14:00
2022-02-28,1393,CABO VILÁN,A CORUÑA,50,"13,0","0,0","10,3",00:20,"15,6",20,"7,2","13,6",12:50,73,83,Varias,60,12:50,13:00
2022-03-01,1393,CABO VILÁN,A CORUÑA,50,"12,4","8,8","10,6",21:00,"14,1",20,"9,4","17,5",12:10,85,92,Varias,71,19:30,15:50
2022-03-02,1393,CABO VILÁN,A CORUÑA,50,"11,2","19,8","10,1",13:10,"12,4",16,"8,3","16,9",19:40,82,91,Varias,75,10:20,23:59
2022-03-03,1393,CABO VILÁN,A CORUÑA,50,"10,1","0,2","7,1",05:20,"13,1",02,"9,4","15,8",22:10,66,91,Varias,54,23:10,13:20
2022-03-04,1393,CABO VILÁN,A CORUÑA,50,"9,3","0,0","5,7",21:50,"12,9",02,"5,8","16,7",03:40,52,68,22:10,46,13:10,13:50
2022-03-05,1393,CABO VILÁN,A CORUÑA,50,"8,6","0,2","5,3",06:50,"11,9",02,"9,2","20,8",18:00,59,67,00:00,51,10:50,14:00
2022-03-06,1393,CABO VILÁN,A CORUÑA,50,"8,2","1,8","5,7",23:59,"10,7",04,"7,8","19,7",07:30,66,78,09:20,54,02:00,14:00
2022-03-07,1393,CABO VILÁN,A CORUÑA,50,"8,4","1,7","3,7",07:30,"13,0",20,"6,4","26,7",23:40,66,87,23:30,52,15:40,14:40
2022-03-08,1393,CABO VILÁN,A CORUÑA,50,"11,9","3,6","8,9",05:50,"14,9",29,"8,3","16,9",01:00,63,82,00:10,53,13:00,13:40
2022-03-09,1393,CABO VILÁN,A CORUÑA,50,"9,8","10,0","6,5",23:50,"13,2",20,"7,8","30,8",10:30,80,91,Varias,64,19:30,09:00
2022-03-10,1393,CABO VILÁN,A CORUÑA,50,"9,5","15,5","5,3",07:10,"13,7",20,"8,6","23,9",20:20,80,90,Varias,67,15:20,15:00
2022-03-11,1393,CABO VILÁN,A CORUÑA,50,"10,8","1,8","8,5",09:40,"13,0",22,"8,3","19,4",08:30,69,89,00:20,58,16:40,12:40
2022-03-12,1393,CABO VILÁN,A CORUÑA,50,"10,4","4,0","7,8",21:30,"12,9",20,"10,8","22,2",09:30,75,89,12:00,57,16:50,13:40
