fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2017-01-01,0244X,VILASSAR DE DALT,BARCELONA,56,"11,2","0,0","8,3",18:41,"14,2",11:32,28,"2,2","8,6",04:30,67,78,07:10,53,11:10
2017-01-02,0244X,VILASSAR DE DALT,BARCELONA,56,"11,2","0,0","7,0",02:50,"15,4",11:17,25,"1,9","9,2",11:10,69,88,03:30,56,11:20
2017-01-03,0244X,VILASSAR DE DALT,BARCELONA,56,"11,8","0,0","8,3",02:18,"15,4",11:48,35,"1,1","5,0",00:40,75,85,04:50,60,01:10
2017-01-04,0244X,VILASSAR DE DALT,BARCELONA,56,"11,1","0,0","7,2",Varias,"15,0",12:40,26,"1,7","6,9",11:50,68,85,03:10,54,15:00
2017-01-05,0244X,VILASSAR DE DALT,BARCELONA,56,,,,,,,,"1,1",,,70,,,,
2017-01-06,0244X,VILASSAR DE DALT,BARCELONA,56,"9,0","0,0","4,4",04:31,"13,7",11:25,20,"1,4","4,7",13:40,66,78,21:30,51,11:30
2017-01-07,0244X,VILASSAR DE DALT,BARCELONA,56,"9,6",,"4,8",04:24,"14,3",12:18,36,"1,4","3,9",01:30,71,82,18:30,58,12:20
2017-01-08,0244X,VILASSAR DE DALT,BARCELONA,56,,"0,0",,,,,,"1,4",,,63,,,,
2017-01-09,0244X,VILASSAR DE DALT,BARCELONA,56,"10,4","0,0","7,0",23:44,"13,8",10:33,29,"3,1","8,1",10:40,61,84,02:40,52,14:10
2017-01-10,0244X,VILASSAR DE DALT,BARCELONA,56,"9,4","0,0","5,9",01:50,"12,9",13:20,03,"1,4","5,0",04:40,66,83,23:30,54,13:10
2017-01-11,0244X,VILASSAR DE DALT,BARCELONA,56,"10,0","0,0","5,4",03:22,"14,6",11:28,24,"2,2","8,9",15:30,58,72,00:00,38,11:30
